PeakID (cmd=annotatePeaks.pl consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1574	XIV	653348	653531	+	0	NA	promoter-TSS (YNR015W)	protein_coding-promoter-TSS (YNR015W)	52	YNR015W	YNR015W	YNR015W			SMM1			protein_coding
Interval_1114	XI	260287	260945	+	0	NA	promoter-TSS (YKL096W)	protein_coding-promoter-TSS (YKL096W)	-516	YKL096W	YKL096W	YKL096W			CWP1			protein_coding
Interval_955	X	68765	69204	+	0	NA	promoter-TSS (YJL194W)	protein_coding-promoter-TSS (YJL194W)	-202	YJL196C	YJL196C	YJL196C			ELO1			protein_coding
Interval_1264	XII	658049	658666	+	0	NA	promoter-TSS (YLR257W)	protein_coding-promoter-TSS (YLR257W)	-469	YLR257W	YLR257W	YLR257W			YLR257W			protein_coding
Interval_492	IX	160038	160764	+	0	NA	promoter-TSS (YIL108W)	protein_coding-promoter-TSS (YIL108W)	-236	YIL109C	YIL109C	YIL109C			SEC24			protein_coding
Interval_1538	XIV	452040	452306	+	0	NA	promoter-TSS (YNL091W)	protein_coding-promoter-TSS (YNL091W)	-235	YNL091W	YNL091W	YNL091W			NST1			protein_coding
Interval_1246	XII	543380	543764	+	0	NA	promoter-TSS (YLR195C)	protein_coding-promoter-TSS (YLR195C)	-268	YLR195C	YLR195C	YLR195C			NMT1			protein_coding
Interval_1383	XIII	379086	379485	+	0	NA	promoter-TSS (YMR050C)	protein_coding-promoter-TSS (YMR050C)	123	tW(CCA)M	tW(CCA)M	tW(CCA)M			tW(CCA)M			tRNA
Interval_1437	XIII	754276	754639	+	0	NA	promoter-TSS (YMR242C)	protein_coding-promoter-TSS (YMR242C)	160	YMR242W-A	YMR242W-A	YMR242W-A			YMR242W-A			protein_coding
Interval_1144	XI	466270	466493	+	0	NA	promoter-TSS (YKR014C)	protein_coding-promoter-TSS (YKR014C)	-310	YKR014C	YKR014C	YKR014C			YPT52			protein_coding
Interval_1756	XVI	14494	14695	+	0	NA	promoter-TSS (YPL279C)	protein_coding-promoter-TSS (YPL279C)	-239	YPL279C	YPL279C	YPL279C			FEX2			protein_coding
Interval_1530	XIV	415613	416621	+	0	NA	TTS (YNL111C)	protein_coding-TTS (YNL111C)	1185	YNL111C	YNL111C	YNL111C			CYB5			protein_coding
Interval_558	V	79983	80463	+	0	NA	promoter-TSS (YEL038W)	protein_coding-promoter-TSS (YEL038W)	-239	YEL038W	YEL038W	YEL038W			UTR4			protein_coding
Interval_1507	XIV	276968	277264	+	0	NA	exon (YNL192W, exon 1 of 1)	protein_coding-exon (YNL192W, exon 1 of 1)	614	YNL192W	YNL192W	YNL192W			CHS1			protein_coding
Interval_911	VIII	298747	299181	+	0	NA	promoter-TSS (YHR097C)	protein_coding-promoter-TSS (YHR097C)	-355	YHR097C	YHR097C	YHR097C			YHR097C			protein_coding
Interval_479	IX	84753	85247	+	0	NA	promoter-TSS (YIL140W)	protein_coding-promoter-TSS (YIL140W)	-53	YIL141W	YIL141W	YIL141W			YIL141W			protein_coding
Interval_644	V	567606	567865	+	0	NA	promoter-TSS (YER188W)	protein_coding-promoter-TSS (YER188W)	-305	YER188W	YER188W	YER188W			YER188W			protein_coding
Interval_105	II	418244	418453	+	0	NA	TTS (YBR085C-A)	protein_coding-TTS (YBR085C-A)	816	YBR085C-A	YBR085C-A	YBR085C-A			YBR085C-A			protein_coding
Interval_377	IV	1011293	1012157	+	0	NA	promoter-TSS (YDR275W)	protein_coding-promoter-TSS (YDR275W)	235	YDR274C	YDR274C	YDR274C			YDR274C			protein_coding
Interval_1710	XV	795355	795575	+	0	NA	promoter-TSS (YOR245C)	protein_coding-promoter-TSS (YOR245C)	-133	YOR245C	YOR245C	YOR245C			DGA1			protein_coding
Interval_937	VIII	484039	484680	+	0	NA	promoter-TSS (YHR188C)	protein_coding-promoter-TSS (YHR188C)	331	YHR189W	YHR189W	YHR189W			PTH1			protein_coding
Interval_630	V	482908	483865	+	0	NA	promoter-TSS (YER155C)	protein_coding-promoter-TSS (YER155C)	-538	YER155C	YER155C	YER155C			BEM2			protein_coding
Interval_1620	XV	207167	207464	+	0	NA	promoter-TSS (YOL064C)	protein_coding-promoter-TSS (YOL064C)	-139	YOL064C	YOL064C	YOL064C			MET22			protein_coding
Interval_871	VIII	74191	75308	+	0	NA	promoter-TSS (YHL015W)	protein_coding-promoter-TSS (YHL015W)	50	YHL015W-A	YHL015W-A	YHL015W-A			YHL015W-A			protein_coding
Interval_727	VII	283879	284509	+	0	NA	promoter-TSS (YGL119W)	protein_coding-promoter-TSS (YGL119W)	-248	YGL119W	YGL119W	YGL119W			COQ8			protein_coding
Interval_420	IV	1233643	1234055	+	0	NA	promoter-TSS (YDR379C-A)	protein_coding-promoter-TSS (YDR379C-A)	-332	YDR379C-A	YDR379C-A	YDR379C-A			SDH6			protein_coding
Interval_1366	XIII	287371	287849	+	0	NA	promoter-TSS (YMR011W)	protein_coding-promoter-TSS (YMR011W)	-469	YMR011W	YMR011W	YMR011W			HXT2			protein_coding
Interval_1073	XI	55816	56015	+	0	NA	TTS (YKL203C)	protein_coding-TTS (YKL203C)	2211	YKL204W	YKL204W	YKL204W			EAP1			protein_coding
Interval_1249	XII	559201	559416	+	0	NA	promoter-TSS (YLR208W)	protein_coding-promoter-TSS (YLR208W)	-243	YLR208W	YLR208W	YLR208W			SEC13			protein_coding
Interval_1578	XIV	691791	692296	+	0	NA	promoter-TSS (YNR034W-A)	protein_coding-promoter-TSS (YNR034W-A)	-518	YNR034W-A	YNR034W-A	YNR034W-A			YNR034W-A			protein_coding
Interval_1179	XII	48733	49858	+	0	NA	promoter-TSS (YLL043W)	protein_coding-promoter-TSS (YLL043W)	-643	YLL043W	YLL043W	YLL043W			FPS1			protein_coding
Interval_1871	XVI	744036	744502	+	0	NA	promoter-TSS (YPR108W-A)	protein_coding-promoter-TSS (YPR108W-A)	-15	tT(UGU)P	tT(UGU)P	tT(UGU)P			tT(UGU)P			tRNA
Interval_116	II	474105	474478	+	0	NA	promoter-TSS (YBR115C)	protein_coding-promoter-TSS (YBR115C)	-365	YBR115C	YBR115C	YBR115C			LYS2			protein_coding
Interval_678	VI	224808	226858	+	0	NA	promoter-TSS (YFR034W-A)	protein_coding-promoter-TSS (YFR034W-A)	125	YFR034C	YFR034C	YFR034C			PHO4			protein_coding
Interval_621	V	422060	423508	+	0	NA	promoter-TSS (YER130C)	protein_coding-promoter-TSS (YER130C)	-338	YER130C	YER130C	YER130C			COM2			protein_coding
Interval_102	II	405949	406279	+	0	NA	promoter-TSS (YBR081C)	protein_coding-promoter-TSS (YBR081C)	154	tD(GUC)B	tD(GUC)B	tD(GUC)B			tD(GUC)B			tRNA
Interval_682	VI	251874	252329	+	0	NA	promoter-TSS (YFR051C)	protein_coding-promoter-TSS (YFR051C)	-298	YFR051C	YFR051C	YFR051C			RET2			protein_coding
Interval_162	II	776254	776671	+	0	NA	promoter-TSS (YBR287W)	protein_coding-promoter-TSS (YBR287W)	-109	YBR287W	YBR287W	YBR287W			YBR287W			protein_coding
Interval_165	II	804818	805237	+	0	NA	promoter-TSS (YBR298C)	protein_coding-promoter-TSS (YBR298C)	229	YBR298C-A	YBR298C-A	YBR298C-A			YBR298C-A			protein_coding
Interval_1897	XVI	899855	901978	+	0	NA	TTS (YPR182W)	protein_coding-TTS (YPR182W)	161	YPR183W	YPR183W	YPR183W			DPM1			protein_coding
Interval_1543	XIV	483208	483489	+	0	NA	promoter-TSS (YNL076W)	protein_coding-promoter-TSS (YNL076W)	-208	YNL076W	YNL076W	YNL076W			MKS1			protein_coding
Interval_1593	XV	8626	8825	+	0	NA	promoter-TSS (YOL163W)	protein_coding-promoter-TSS (YOL163W)	-872	YOL163W	YOL163W	YOL163W			YOL163W			protein_coding
Interval_1666	XV	493027	493256	+	0	NA	promoter-TSS (YOR090C)	protein_coding-promoter-TSS (YOR090C)	-292	YOR091W	YOR091W	YOR091W			TMA46			protein_coding
Interval_388	IV	1067156	1067348	+	0	NA	promoter-TSS (YDR302W)	protein_coding-promoter-TSS (YDR302W)	-479	YDR302W	YDR302W	YDR302W			GPI11			protein_coding
Interval_1526	XIV	392421	392836	+	0	NA	promoter-TSS (YNL124W)	protein_coding-promoter-TSS (YNL124W)	-264	YNL124W	YNL124W	YNL124W			NAF1			protein_coding
Interval_1224	XII	404232	404431	+	0	NA	promoter-TSS (YLR130C)	protein_coding-promoter-TSS (YLR130C)	-269	YLR130C	YLR130C	YLR130C			ZRT2			protein_coding
Interval_1763	XVI	66834	67812	+	0	NA	promoter-TSS (YPL255W)	protein_coding-promoter-TSS (YPL255W)	-402	YPL255W	YPL255W	YPL255W			BBP1			protein_coding
Interval_462	IV	1480190	1480521	+	0	NA	promoter-TSS (YDR519W)	protein_coding-promoter-TSS (YDR519W)	-70	YDR519W	YDR519W	YDR519W			FPR2			protein_coding
Interval_1877	XVI	781772	781971	+	0	NA	promoter-TSS (YPR122W)	protein_coding-promoter-TSS (YPR122W)	-174	YPR122W	YPR122W	YPR122W			AXL1			protein_coding
Interval_980	X	204724	205211	+	0	NA	promoter-TSS (YJL112W)	protein_coding-promoter-TSS (YJL112W)	232	tD(GUC)J1	tD(GUC)J1	tD(GUC)J1			tD(GUC)J1			tRNA
Interval_85	II	310408	310607	+	0	NA	promoter-TSS (YBR036C)	protein_coding-promoter-TSS (YBR036C)	-194	YBR036C	YBR036C	YBR036C			CSG2			protein_coding
Interval_108	II	429237	429562	+	0	NA	promoter-TSS (YBR092C)	protein_coding-promoter-TSS (YBR092C)	-298	YBR092C	YBR092C	YBR092C			PHO3			protein_coding
Interval_409	IV	1178065	1178302	+	0	NA	promoter-TSS (YDR350C)	protein_coding-promoter-TSS (YDR350C)	-9	YDR350C	YDR350C	YDR350C			ATP22			protein_coding
Interval_1419	XIII	608157	608557	+	0	NA	promoter-TSS (YMR172C-A)	protein_coding-promoter-TSS (YMR172C-A)	-146	YMR172C-A	YMR172C-A	YMR172C-A			YMR172C-A			protein_coding
Interval_1393	XIII	438822	439143	+	0	NA	promoter-TSS (YMR086W)	protein_coding-promoter-TSS (YMR086W)	-226	YMR086W	YMR086W	YMR086W			SEG1			protein_coding
Interval_574	V	159249	159650	+	0	NA	promoter-TSS (YER003C)	protein_coding-promoter-TSS (YER003C)	-131	YER004W	YER004W	YER004W			FMP52			protein_coding
Interval_35	II	5656	6374	+	0	NA	exon (YBL109W, exon 1 of 1)	protein_coding-exon (YBL109W, exon 1 of 1)	225	YBL109W	YBL109W	YBL109W			YBL109W			protein_coding
Interval_414	IV	1201667	1202217	+	0	NA	promoter-TSS (YDR363W-A)	protein_coding-promoter-TSS (YDR363W-A)	-186	YDR363W-A	YDR363W-A	YDR363W-A			SEM1			protein_coding
Interval_421	IV	1240129	1240364	+	0	NA	TTS (YDR382W)	protein_coding-TTS (YDR382W)	430	YDR383C	YDR383C	YDR383C			NKP1			protein_coding
Interval_1312	XII	1001925	1003145	+	0	NA	promoter-TSS (YLR431C)	protein_coding-promoter-TSS (YLR431C)	-22	YLR432W	YLR432W	YLR432W			IMD3			protein_coding
Interval_1895	XVI	885496	885695	+	0	NA	promoter-TSS (YPR172W)	protein_coding-promoter-TSS (YPR172W)	-201	YPR172W	YPR172W	YPR172W			YPR172W			protein_coding
Interval_1731	XV	931155	931873	+	0	NA	promoter-TSS (YOR327C)	protein_coding-promoter-TSS (YOR327C)	-289	YOR328W	YOR328W	YOR328W			PDR10			protein_coding
Interval_1234	XII	468752	468977	+	0	NA	promoter-TSS (RDN5-2)	rRNA-promoter-TSS (RDN5-2)	51	RDN5-2	RDN5-2	RDN5-2			RDN5-2			rRNA
Interval_1598	XV	38746	39506	+	0	NA	promoter-TSS (YOL153C)	pseudogene-promoter-TSS (YOL153C)	-559	YOL153C	YOL153C	YOL153C			YOL153C			pseudogene
Interval_182	III	107159	107373	+	0	NA	promoter-TSS (YCL005W)	protein_coding-promoter-TSS (YCL005W)	100	YCL007C	YCL007C	YCL007C			YCL007C			protein_coding
Interval_485	IX	117623	117986	+	0	NA	promoter-TSS (YIL126W)	protein_coding-promoter-TSS (YIL126W)	-160	YIL127C	YIL127C	YIL127C			RRT14			protein_coding
Interval_222	IV	49416	49728	+	0	NA	Intergenic	Intergenic	-1541	YDL227C	YDL227C	YDL227C			HO			protein_coding
Interval_1649	XV	407857	408424	+	0	NA	promoter-TSS (YOR042W)	protein_coding-promoter-TSS (YOR042W)	-6	snR9	snR9	snR9			snR9			snoRNA
Interval_217	IV	22527	22751	+	0	NA	promoter-TSS (YDL240C-A)	protein_coding-promoter-TSS (YDL240C-A)	-31	YDL240C-A	YDL240C-A	YDL240C-A			YDL240C-A			protein_coding
Interval_1250	XII	566380	566780	+	0	NA	promoter-TSS (YLR212C)	protein_coding-promoter-TSS (YLR212C)	-299	YLR212C	YLR212C	YLR212C			TUB4			protein_coding
Interval_802	VII	771959	772236	+	0	NA	promoter-TSS (YGR142W)	protein_coding-promoter-TSS (YGR142W)	-357	YGR142W	YGR142W	YGR142W			BTN2			protein_coding
Interval_1126	XI	355213	356318	+	0	NA	promoter-TSS (YKL043W)	protein_coding-promoter-TSS (YKL043W)	-557	YKL044W	YKL044W	YKL044W			YKL044W			protein_coding
Interval_1454	XIII	861001	861968	+	0	NA	promoter-TSS (YMR296C)	protein_coding-promoter-TSS (YMR296C)	-438	YMR297W	YMR297W	YMR297W			PRC1			protein_coding
Interval_87	II	326628	326940	+	0	NA	promoter-TSS (YBR044C)	protein_coding-promoter-TSS (YBR044C)	81	tV(UAC)B	tV(UAC)B	tV(UAC)B			tV(UAC)B			tRNA
Interval_1420	XIII	610203	610572	+	0	NA	promoter-TSS (YMR174C)	protein_coding-promoter-TSS (YMR174C)	-22	YMR174C	YMR174C	YMR174C			PAI3			protein_coding
Interval_761	VII	508420	508857	+	0	NA	promoter-TSS (YGR008C)	protein_coding-promoter-TSS (YGR008C)	-274	YGR008C	YGR008C	YGR008C			STF2			protein_coding
Interval_430	IV	1288067	1288266	+	0	NA	promoter-TSS (YDR407C)	protein_coding-promoter-TSS (YDR407C)	-228	YDR407C	YDR407C	YDR407C			TRS120			protein_coding
Interval_1775	XVI	118079	118382	+	0	NA	promoter-TSS (YPL228W)	protein_coding-promoter-TSS (YPL228W)	-152	YPL228W	YPL228W	YPL228W			CET1			protein_coding
Interval_652	VI	49387	49609	+	0	NA	TTS (YFL041W-A)	protein_coding-TTS (YFL041W-A)	359	YFL041W	YFL041W	YFL041W			FET5			protein_coding
Interval_251	IV	217179	217571	+	0	NA	promoter-TSS (YDL136W)	protein_coding-promoter-TSS (YDL136W)	-225	YDL136W	YDL136W	YDL136W			RPL35B			protein_coding
Interval_95	II	370816	371587	+	0	NA	promoter-TSS (YBR066C)	protein_coding-promoter-TSS (YBR066C)	-502	YBR066C	YBR066C	YBR066C			NRG2			protein_coding
Interval_902	VIII	236054	236682	+	0	NA	promoter-TSS (YHR071W)	protein_coding-promoter-TSS (YHR071W)	144	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
Interval_1377	XIII	340895	341268	+	0	NA	promoter-TSS (YMR034C)	protein_coding-promoter-TSS (YMR034C)	-61	YMR035W	YMR035W	YMR035W			IMP2			protein_coding
Interval_193	III	168221	168441	+	0	NA	promoter-TSS (YCR027C)	protein_coding-promoter-TSS (YCR027C)	41	tQ(UUG)C	tQ(UUG)C	tQ(UUG)C			tQ(UUG)C			tRNA
Interval_1394	XIII	445260	445478	+	0	NA	promoter-TSS (YMR088C)	protein_coding-promoter-TSS (YMR088C)	-267	YMR088C	YMR088C	YMR088C			VBA1			protein_coding
Interval_531	IX	381784	382674	+	0	NA	promoter-TSS (YIR016W)	protein_coding-promoter-TSS (YIR016W)	281	YIR015W	YIR015W	YIR015W			RPR2			protein_coding
Interval_425	IV	1258202	1258772	+	0	NA	promoter-TSS (YDR391C)	protein_coding-promoter-TSS (YDR391C)	-209	YDR392W	YDR392W	YDR392W			SPT3			protein_coding
Interval_858	VII	1083745	1084551	+	0	NA	promoter-TSS (YGR296W)	protein_coding-promoter-TSS (YGR296W)	-716	YGR296W	YGR296W	YGR296W			YRF1-3			protein_coding
Interval_73	II	258067	258271	+	0	NA	promoter-TSS (YBR011C)	protein_coding-promoter-TSS (YBR011C)	-194	YBR011C	YBR011C	YBR011C			IPP1			protein_coding
Interval_1656	XV	438689	438968	+	0	NA	TTS (YOR059C)	protein_coding-TTS (YOR059C)	185	tK(UUU)O	tK(UUU)O	tK(UUU)O			tK(UUU)O			tRNA
Interval_1202	XII	212177	212451	+	0	NA	promoter-TSS (YLR034C)	protein_coding-promoter-TSS (YLR034C)	-381	YLR034C	YLR034C	YLR034C			SMF3			protein_coding
Interval_47	II	89293	89939	+	0	NA	promoter-TSS (YBL071C-B)	protein_coding-promoter-TSS (YBL071C-B)	-60	YBL071C-B	YBL071C-B	YBL071C-B			YBL071C-B			protein_coding
Interval_1789	XVI	204931	205298	+	0	NA	promoter-TSS (YPL180W)	protein_coding-promoter-TSS (YPL180W)	-134	YPL180W	YPL180W	YPL180W			TCO89			protein_coding
Interval_1713	XV	816923	817176	+	0	NA	promoter-TSS (YOR261C)	protein_coding-promoter-TSS (YOR261C)	-118	YOR261C	YOR261C	YOR261C			RPN8			protein_coding
Interval_184	III	122533	124004	+	0	NA	promoter-TSS (YCR005C)	protein_coding-promoter-TSS (YCR005C)	-265	YCR006C	YCR006C	YCR006C			YCR006C			protein_coding
Interval_1382	XIII	372251	372604	+	0	NA	promoter-TSS (tV(AAC)M1)	tRNA-promoter-TSS (tV(AAC)M1)	91	tV(AAC)M1	tV(AAC)M1	tV(AAC)M1			tV(AAC)M1			tRNA
Interval_579	V	194731	195104	+	0	NA	promoter-TSS (YER019C-A)	protein_coding-promoter-TSS (YER019C-A)	-251	YER020W	YER020W	YER020W			GPA2			protein_coding
Interval_224	IV	60999	61183	+	0	NA	promoter-TSS (YDL221W)	protein_coding-promoter-TSS (YDL221W)	-686	YDL223C	YDL223C	YDL223C			HBT1			protein_coding
Interval_1800	XVI	287090	287461	+	0	NA	TTS (YPL140C)	protein_coding-TTS (YPL140C)	-1214	YPL141C	YPL141C	YPL141C			FRK1			protein_coding
Interval_1433	XIII	732185	732384	+	0	NA	promoter-TSS (YMR230W)	protein_coding-promoter-TSS (YMR230W)	-130	YMR230W	YMR230W	YMR230W			RPS10B			protein_coding
Interval_1428	XIII	667169	667487	+	0	NA	promoter-TSS (YMR201C)	protein_coding-promoter-TSS (YMR201C)	128	RNA170	RNA170	RNA170			RNA170			ncRNA
Interval_1333	XIII	76895	77080	+	0	NA	promoter-TSS (YML098W)	protein_coding-promoter-TSS (YML098W)	53	YML099C	YML099C	YML099C			ARG81			protein_coding
Interval_1002	X	373995	374599	+	0	NA	promoter-TSS (YJL039C)	protein_coding-promoter-TSS (YJL039C)	198	tD(GUC)J3	tD(GUC)J3	tD(GUC)J3			tD(GUC)J3			tRNA
Interval_340	IV	755209	755536	+	0	NA	promoter-TSS (YDR148C)	protein_coding-promoter-TSS (YDR148C)	-256	YDR150W	YDR150W	YDR150W			NUM1			protein_coding
Interval_1494	XIV	172806	173682	+	0	NA	promoter-TSS (YNL252C)	protein_coding-promoter-TSS (YNL252C)	-958	YNL252C	YNL252C	YNL252C			MRPL17			protein_coding
Interval_332	IV	675572	675943	+	0	NA	promoter-TSS (YDR109C)	protein_coding-promoter-TSS (YDR109C)	-90	YDR109C	YDR109C	YDR109C			YDR109C			protein_coding
Interval_61	II	191729	192287	+	0	NA	promoter-TSS (YBL016W)	protein_coding-promoter-TSS (YBL016W)	-425	YBL017C	YBL017C	YBL017C			PEP1			protein_coding
Interval_55	II	140407	141263	+	0	NA	promoter-TSS (YBL041W)	protein_coding-promoter-TSS (YBL041W)	-412	YBL041W	YBL041W	YBL041W			PRE7			protein_coding
Interval_696	VII	66779	67681	+	0	NA	promoter-TSS (YGL228W)	protein_coding-promoter-TSS (YGL228W)	-271	YGL229C	YGL229C	YGL229C			SAP4			protein_coding
Interval_1328	XIII	46418	47217	+	0	NA	promoter-TSS (YML111W)	protein_coding-promoter-TSS (YML111W)	-125	YML111W	YML111W	YML111W			BUL2			protein_coding
Interval_1082	XI	106648	106980	+	0	NA	promoter-TSS (YKL181W)	protein_coding-promoter-TSS (YKL181W)	-502	YKL181W	YKL181W	YKL181W			PRS1			protein_coding
Interval_1046	X	607966	608318	+	0	NA	promoter-TSS (YJR094W-A)	protein_coding-promoter-TSS (YJR094W-A)	-163	YJR094W-A	YJR094W-A	YJR094W-A			RPL43B			protein_coding
Interval_1327	XIII	37785	38174	+	0	NA	promoter-TSS (YML116W)	protein_coding-promoter-TSS (YML116W)	-217	YML116W	YML116W	YML116W			ATR1			protein_coding
Interval_1870	XVI	739690	740126	+	0	NA	promoter-TSS (YPR105C)	protein_coding-promoter-TSS (YPR105C)	-153	YPR106W	YPR106W	YPR106W			ISR1			protein_coding
Interval_1627	XV	253633	254236	+	0	NA	promoter-TSS (YOL039W)	protein_coding-promoter-TSS (YOL039W)	-357	YOL040C	YOL040C	YOL040C			RPS15			protein_coding
Interval_831	VII	919723	920591	+	0	NA	promoter-TSS (YGR213C)	protein_coding-promoter-TSS (YGR213C)	-418	YGR214W	YGR214W	YGR214W			RPS0A			protein_coding
Interval_1501	XIV	233774	234091	+	0	NA	promoter-TSS (YNL220W)	protein_coding-promoter-TSS (YNL220W)	-237	YNL221C	YNL221C	YNL221C			POP1			protein_coding
Interval_1009	X	402527	402789	+	0	NA	promoter-TSS (YJL019W)	protein_coding-promoter-TSS (YJL019W)	-239	YJL019W	YJL019W	YJL019W			MPS3			protein_coding
Interval_405	IV	1164730	1165713	+	0	NA	promoter-TSS (YDR345C)	protein_coding-promoter-TSS (YDR345C)	-561	YDR345C	YDR345C	YDR345C			HXT3			protein_coding
Interval_411	IV	1182812	1183679	+	0	NA	promoter-TSS (YDR353W)	protein_coding-promoter-TSS (YDR353W)	-54	YDR353W	YDR353W	YDR353W			TRR1			protein_coding
Interval_1594	XV	21085	21829	+	0	NA	promoter-TSS (YOL158C)	protein_coding-promoter-TSS (YOL158C)	-146	YOL158C	YOL158C	YOL158C			ENB1			protein_coding
Interval_277	IV	368607	369623	+	0	NA	promoter-TSS (YDL047W)	protein_coding-promoter-TSS (YDL047W)	-656	YDL047W	YDL047W	YDL047W			SIT4			protein_coding
Interval_1386	XIII	401229	401618	+	0	NA	promoter-TSS (YMR066W)	protein_coding-promoter-TSS (YMR066W)	-118	YMR066W	YMR066W	YMR066W			SOV1			protein_coding
Interval_1173	XII	11058	11863	+	0	NA	promoter-TSS (YLL065W)	protein_coding-promoter-TSS (YLL065W)	-266	YLL065W	YLL065W	YLL065W			YLL065W			protein_coding
Interval_246	IV	176358	176557	+	0	NA	promoter-TSS (YDL155W)	protein_coding-promoter-TSS (YDL155W)	-316	YDL155W	YDL155W	YDL155W			CLB3			protein_coding
Interval_798	VII	739031	739802	+	0	NA	promoter-TSS (YGR124W)	protein_coding-promoter-TSS (YGR124W)	294	tI(AAU)G	tI(AAU)G	tI(AAU)G			tI(AAU)G			tRNA
Interval_844	VII	986820	987919	+	0	NA	promoter-TSS (YGR249W)	protein_coding-promoter-TSS (YGR249W)	-680	YGR249W	YGR249W	YGR249W			MGA1			protein_coding
Interval_823	VII	871475	871733	+	0	NA	promoter-TSS (YGR187C)	protein_coding-promoter-TSS (YGR187C)	-188	YGR187C	YGR187C	YGR187C			HGH1			protein_coding
Interval_972	X	157318	158056	+	0	NA	promoter-TSS (YJL134W)	protein_coding-promoter-TSS (YJL134W)	-190	YJL135W	YJL135W	YJL135W			YJL135W			protein_coding
Interval_689	VII	23132	23792	+	0	NA	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-473	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
Interval_699	VII	81209	81467	+	0	NA	promoter-TSS (YGL222C)	protein_coding-promoter-TSS (YGL222C)	-152	YGL222C	YGL222C	YGL222C			EDC1			protein_coding
Interval_1330	XIII	67693	68405	+	0	NA	promoter-TSS (YML102W)	protein_coding-promoter-TSS (YML102W)	-111	snR85	snR85	snR85			snR85			snoRNA
Interval_141	II	628472	628879	+	0	NA	promoter-TSS (YBR203W)	protein_coding-promoter-TSS (YBR203W)	-493	YBR203W	YBR203W	YBR203W			COS111			protein_coding
Interval_1634	XV	296202	296935	+	0	NA	promoter-TSS (YOL015W)	protein_coding-promoter-TSS (YOL015W)	-448	YOL016C	YOL016C	YOL016C			CMK2			protein_coding
Interval_275	IV	363511	363806	+	0	NA	promoter-TSS (YDL051W)	protein_coding-promoter-TSS (YDL051W)	-75	YDL052C	YDL052C	YDL052C			SLC1			protein_coding
Interval_605	V	318483	318797	+	0	NA	promoter-TSS (YER078C)	protein_coding-promoter-TSS (YER078C)	-6	YER078W-A	YER078W-A	YER078W-A			YER078W-A			protein_coding
Interval_806	VII	788206	788813	+	0	NA	promoter-TSS (YGR148C)	protein_coding-promoter-TSS (YGR148C)	-522	YGR149W	YGR149W	YGR149W			YGR149W			protein_coding
Interval_86	II	324160	324562	+	0	NA	promoter-TSS (YBR043C)	protein_coding-promoter-TSS (YBR043C)	-416	YBR043C	YBR043C	YBR043C			QDR3			protein_coding
Interval_236	IV	115985	116254	+	0	NA	promoter-TSS (YDL192W)	protein_coding-promoter-TSS (YDL192W)	-202	YDL192W	YDL192W	YDL192W			ARF1			protein_coding
Interval_396	IV	1108154	1108575	+	0	NA	promoter-TSS (YDR320C)	protein_coding-promoter-TSS (YDR320C)	-120	YDR320W-B	YDR320W-B	YDR320W-B			YDR320W-B			protein_coding
Interval_509	IX	257189	257639	+	0	NA	promoter-TSS (YIL052C)	protein_coding-promoter-TSS (YIL052C)	-351	YIL052C	YIL052C	YIL052C			RPL34B			protein_coding
Interval_214	III	315714	316569	+	0	NA	promoter-TSS (YCR108C)	protein_coding-promoter-TSS (YCR108C)	47	YCR108C	YCR108C	YCR108C			YCR108C			protein_coding
Interval_353	IV	870763	871002	+	0	NA	promoter-TSS (YDR210W)	protein_coding-promoter-TSS (YDR210W)	-192	YDR210W	YDR210W	YDR210W			YDR210W			protein_coding
Interval_23	I	141453	142142	+	0	NA	promoter-TSS (YAL003W)	protein_coding-promoter-TSS (YAL003W)	-366	YAL005C	YAL005C	YAL005C			SSA1			protein_coding
Interval_1017	X	436017	436202	+	0	NA	promoter-TSS (YJR001W)	protein_coding-promoter-TSS (YJR001W)	-693	YJR001W	YJR001W	YJR001W			AVT1			protein_coding
Interval_772	VII	557648	557938	+	0	NA	promoter-TSS (YGR035C)	protein_coding-promoter-TSS (YGR035C)	228	YGR035W-A	YGR035W-A	YGR035W-A			YGR035W-A			protein_coding
Interval_1618	XV	170096	170805	+	0	NA	promoter-TSS (YOL081W)	protein_coding-promoter-TSS (YOL081W)	-620	YOL081W	YOL081W	YOL081W			IRA2			protein_coding
Interval_407	IV	1174264	1175105	+	0	NA	promoter-TSS (YDR349C)	protein_coding-promoter-TSS (YDR349C)	-508	YDR349C	YDR349C	YDR349C			YPS7			protein_coding
Interval_1092	XI	146852	147330	+	0	NA	TTS (YKL162C)	protein_coding-TTS (YKL162C)	-1017	YKL162C-A	YKL162C-A	YKL162C-A			YKL162C-A			protein_coding
Interval_261	IV	263897	265348	+	0	NA	promoter-TSS (YDL111C)	protein_coding-promoter-TSS (YDL111C)	342	YDL110C	YDL110C	YDL110C			TMA17			protein_coding
