PeakID (cmd=annotatePeaks.pl OSMOTIC_STRESS_T100_SE_REP1_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OSMOTIC_STRESS_T100_SE_REP1_peak_599	XI	580999	581398	+	52	NA	promoter-TSS (YKR075C)	protein_coding-promoter-TSS (YKR075C)	-448	YKR075C	YKR075C	YKR075C			YKR075C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_900	XV	987392	988681	+	52	NA	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	746	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_409	VII	661758	661995	+	52	NA	promoter-TSS (YGR090W)	protein_coding-promoter-TSS (YGR090W)	127	tT(UGU)G1	tT(UGU)G1	tT(UGU)G1			tT(UGU)G1			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_605	XI	630494	630784	+	52	NA	promoter-TSS (YKR097W)	protein_coding-promoter-TSS (YKR097W)	-513	YKR097W	YKR097W	YKR097W			PCK1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_245	IX	248698	249714	+	52	NA	promoter-TSS (YIL056W)	protein_coding-promoter-TSS (YIL056W)	356	tS(UGA)I	tS(UGA)I	tS(UGA)I			SUP17			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_929	XVI	281532	282055	+	52	NA	promoter-TSS (YPL143W)	protein_coding-promoter-TSS (YPL143W)	-276	snR17b	snR17b	snR17b			snR17b			snoRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_55	II	426658	427174	+	52	NA	promoter-TSS (YBR089C-A)	protein_coding-promoter-TSS (YBR089C-A)	142	YBR090C	YBR090C	YBR090C			YBR090C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_205	IV	1301071	1301620	+	52	NA	promoter-TSS (YDR418W)	protein_coding-promoter-TSS (YDR418W)	-271	YDR418W	YDR418W	YDR418W			RPL12B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_536	X	639170	639766	+	52	NA	promoter-TSS (YJR113C)	protein_coding-promoter-TSS (YJR113C)	-474	YJR115W	YJR115W	YJR115W			YJR115W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_542	X	703169	704049	+	52	NA	promoter-TSS (YJR145C)	protein_coding-promoter-TSS (YJR145C)	-276	YJR146W	YJR146W	YJR146W			YJR146W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_302	V	335384	335904	+	51	NA	promoter-TSS (YER088C)	protein_coding-promoter-TSS (YER088C)	-283	YER088W-B	YER088W-B	YER088W-B			YER088W-B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_212	IV	1401335	1401828	+	51	NA	promoter-TSS (YDR470C)	protein_coding-promoter-TSS (YDR470C)	-189	YDR471W	YDR471W	YDR471W			RPL27B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_292	V	268387	268727	+	50	NA	promoter-TSS (YER056C)	protein_coding-promoter-TSS (YER056C)	-444	YER056C	YER056C	YER056C			FCY2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_282	V	174712	175041	+	50	NA	promoter-TSS (YER011W)	protein_coding-promoter-TSS (YER011W)	-372	YER011W	YER011W	YER011W			TIR1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_686	XIII	69734	70392	+	50	NA	promoter-TSS (YML100W)	protein_coding-promoter-TSS (YML100W)	25	YML101C	YML101C	YML101C			CUE4			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_306	V	354697	355323	+	50	NA	promoter-TSS (YER097W)	protein_coding-promoter-TSS (YER097W)	76	tE(UUC)E2	tE(UUC)E2	tE(UUC)E2			tE(UUC)E2			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_668	XII	875154	875502	+	50	NA	promoter-TSS (YLR377C)	protein_coding-promoter-TSS (YLR377C)	-48	tK(UUU)L	tK(UUU)L	tK(UUU)L			tK(UUU)L			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_672	XII	924553	924962	+	50	NA	promoter-TSS (YLR401C)	protein_coding-promoter-TSS (YLR401C)	-132	YLR402W	YLR402W	YLR402W			YLR402W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_430	VII	883596	884473	+	50	NA	promoter-TSS (YGR192C)	protein_coding-promoter-TSS (YGR192C)	-224	YGR192C	YGR192C	YGR192C			TDH3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_319	V	461777	462433	+	50	NA	promoter-TSS (YER145C)	protein_coding-promoter-TSS (YER145C)	-365	YER145C	YER145C	YER145C			FTR1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_608	XII	5565	5927	+	49	NA	promoter-TSS (YLL066W-A)	protein_coding-promoter-TSS (YLL066W-A)	141	YLL066W-B	YLL066W-B	YLL066W-B			YLL066W-B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_661	XII	808911	809563	+	49	NA	promoter-TSS (YLR342W)	protein_coding-promoter-TSS (YLR342W)	-760	YLR342W	YLR342W	YLR342W			FKS1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_456	VIII	98321	99102	+	49	NA	promoter-TSS (YHL004W)	protein_coding-promoter-TSS (YHL004W)	84	YHL006C	YHL006C	YHL006C			SHU1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_693	XIII	145973	146420	+	49	NA	promoter-TSS (YML063W)	protein_coding-promoter-TSS (YML063W)	-286	YML063W	YML063W	YML063W			RPS1B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_460	VIII	126037	126403	+	49	NA	promoter-TSS (YHR009C)	protein_coding-promoter-TSS (YHR009C)	-301	YHR010W	YHR010W	YHR010W			RPL27A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_349	VI	221575	221871	+	48	NA	promoter-TSS (RUF23)	ncRNA-promoter-TSS (RUF23)	9	RUF23	RUF23	RUF23			RUF23			ncRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_833	XV	167983	168384	+	48	NA	promoter-TSS (YOL082W)	protein_coding-promoter-TSS (YOL082W)	-544	YOL082W	YOL082W	YOL082W			ATG19			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_691	XIII	124226	124596	+	48	NA	promoter-TSS (YML073C)	protein_coding-promoter-TSS (YML073C)	-239	YML073C	YML073C	YML073C			RPL6A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_201	IV	1251731	1252084	+	48	NA	promoter-TSS (YDR389W)	protein_coding-promoter-TSS (YDR389W)	-630	YDR389W	YDR389W	YDR389W			SAC7			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_313	V	423231	423508	+	48	NA	promoter-TSS (YER130C)	protein_coding-promoter-TSS (YER130C)	-583	YER131W	YER131W	YER131W			RPS26B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_109	III	315895	316569	+	48	NA	promoter-TSS (YCR108C)	protein_coding-promoter-TSS (YCR108C)	-44	YCR108C	YCR108C	YCR108C			YCR108C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_200	IV	1242212	1242973	+	48	NA	promoter-TSS (YDR384C)	protein_coding-promoter-TSS (YDR384C)	-561	YDR384C	YDR384C	YDR384C			ATO3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_939	XVI	378429	378875	+	48	NA	promoter-TSS (YPL090C)	protein_coding-promoter-TSS (YPL090C)	-257	YPL090C	YPL090C	YPL090C			RPS6A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_942	XVI	406255	406642	+	48	NA	promoter-TSS (YPL079W)	protein_coding-promoter-TSS (YPL079W)	50	YPL080C	YPL080C	YPL080C			YPL080C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_428	VII	856570	857176	+	48	NA	promoter-TSS (YGR180C)	protein_coding-promoter-TSS (YGR180C)	-572	YGR180C	YGR180C	YGR180C			RNR4			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_435	VII	920013	920591	+	48	NA	promoter-TSS (YGR213C)	protein_coding-promoter-TSS (YGR213C)	-273	YGR214W	YGR214W	YGR214W			RPS0A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_13	I	180967	181442	+	47	NA	promoter-TSS (tL(CAA)A)	tRNA-promoter-TSS (tL(CAA)A)	63	tL(CAA)A	tL(CAA)A	tL(CAA)A			SUP56			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_391	VII	433217	433579	+	47	NA	promoter-TSS (YGL035C)	protein_coding-promoter-TSS (YGL035C)	181	YGL034C	YGL034C	YGL034C			YGL034C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_420	VII	774266	774729	+	47	NA	promoter-TSS (YGR143W)	protein_coding-promoter-TSS (YGR143W)	148	tA(AGC)G	tA(AGC)G	tA(AGC)G			tA(AGC)G			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_44	II	255778	256266	+	47	NA	promoter-TSS (YBR009C)	protein_coding-promoter-TSS (YBR009C)	-309	YBR010W	YBR010W	YBR010W			HHT1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_654	XII	728229	728723	+	47	NA	promoter-TSS (YLR299C-A)	protein_coding-promoter-TSS (YLR299C-A)	-473	YLR299C-A	YLR299C-A	YLR299C-A			YLR299C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_793	XIV	440767	441224	+	46	NA	promoter-TSS (YNL097C-B)	protein_coding-promoter-TSS (YNL097C-B)	-76	YNL097C-B	YNL097C-B	YNL097C-B			YNL097C-B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_134	IV	307855	308493	+	46	NA	promoter-TSS (YDL082W)	protein_coding-promoter-TSS (YDL082W)	-250	YDL082W	YDL082W	YDL082W			RPL13A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_68	II	595578	595968	+	46	NA	promoter-TSS (YBR182C)	protein_coding-promoter-TSS (YBR182C)	-218	YBR182C-A	YBR182C-A	YBR182C-A			YBR182C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_355	VII	1	665	+	46	NA	Intergenic	Intergenic	-2457	YGL263W	YGL263W	YGL263W			COS12			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_534	X	623143	623621	+	46	NA	promoter-TSS (YJR104C)	protein_coding-promoter-TSS (YJR104C)	-199	YJR105W	YJR105W	YJR105W			ADO1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_788	XIV	374763	375180	+	46	NA	promoter-TSS (YNL132W)	protein_coding-promoter-TSS (YNL132W)	102	tF(GAA)N	tF(GAA)N	tF(GAA)N			tF(GAA)N			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_804	XIV	576083	576573	+	46	NA	promoter-TSS (YNL030W)	protein_coding-promoter-TSS (YNL030W)	-278	YNL031C	YNL031C	YNL031C			HHT2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_950	XVI	502315	503048	+	46	NA	promoter-TSS (YPL024W)	protein_coding-promoter-TSS (YPL024W)	349	YPL025C	YPL025C	YPL025C			YPL025C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_369	VII	206370	206648	+	46	NA	promoter-TSS (YGL158W)	protein_coding-promoter-TSS (YGL158W)	-524	YGL158W	YGL158W	YGL158W			RCK1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_415	VII	739049	739751	+	46	NA	promoter-TSS (YGR124W)	protein_coding-promoter-TSS (YGR124W)	278	tI(AAU)G	tI(AAU)G	tI(AAU)G			tI(AAU)G			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_504	X	195353	195742	+	46	NA	promoter-TSS (YJL115W)	protein_coding-promoter-TSS (YJL115W)	-674	YJL116C	YJL116C	YJL116C			NCA3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_775	XIV	217325	217693	+	46	NA	promoter-TSS (YNL231C)	protein_coding-promoter-TSS (YNL231C)	-467	YNL231C	YNL231C	YNL231C			PDR16			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_640	XII	522230	522667	+	46	NA	promoter-TSS (YLR183C)	protein_coding-promoter-TSS (YLR183C)	-215	YLR185W	YLR185W	YLR185W			RPL37A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_738	XIII	661667	662202	+	46	NA	promoter-TSS (YMR199W)	protein_coding-promoter-TSS (YMR199W)	-710	YMR199W	YMR199W	YMR199W			CLN1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_834	XV	216245	216840	+	46	NA	promoter-TSS (YOL059W)	protein_coding-promoter-TSS (YOL059W)	-405	YOL060C	YOL060C	YOL060C			MAM3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_718	XIII	387973	388622	+	46	NA	promoter-TSS (YMR056C)	protein_coding-promoter-TSS (YMR056C)	-53	YMR056C	YMR056C	YMR056C			AAC1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_71	II	614112	614425	+	46	NA	promoter-TSS (YBR196C)	protein_coding-promoter-TSS (YBR196C)	-95	YBR196C-A	YBR196C-A	YBR196C-A			YBR196C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_46	II	332515	332799	+	46	NA	promoter-TSS (YBR048W)	protein_coding-promoter-TSS (YBR048W)	-174	YBR048W	YBR048W	YBR048W			RPS11B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_356	VII	23172	23738	+	45	NA	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-480	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_509	X	294275	295069	+	45	NA	promoter-TSS (YJL076W)	protein_coding-promoter-TSS (YJL076W)	-127	YJL077W-A	YJL077W-A	YJL077W-A			YJL077W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_521	X	455733	456006	+	45	NA	promoter-TSS (YJR010W)	protein_coding-promoter-TSS (YJR010W)	-370	YJR010W	YJR010W	YJR010W			MET3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_609	XII	11180	11863	+	45	NA	promoter-TSS (YLL065W)	protein_coding-promoter-TSS (YLL065W)	-205	YLL065W	YLL065W	YLL065W			YLL065W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_914	XVI	76302	76617	+	45	NA	promoter-TSS (YPL249C-A)	protein_coding-promoter-TSS (YPL249C-A)	-220	YPL249C-A	YPL249C-A	YPL249C-A			RPL36B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_70	II	605858	606140	+	45	NA	promoter-TSS (YBR190W)	protein_coding-promoter-TSS (YBR190W)	33	YBR190W	YBR190W	YBR190W			YBR190W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_745	XIII	773978	774558	+	45	NA	promoter-TSS (YMR251W-A)	protein_coding-promoter-TSS (YMR251W-A)	-484	YMR251W-A	YMR251W-A	YMR251W-A			HOR7			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_851	XV	424186	424615	+	45	NA	promoter-TSS (YOR049C)	protein_coding-promoter-TSS (YOR049C)	217	YOR050C	YOR050C	YOR050C			YOR050C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_928	XVI	280073	280398	+	45	NA	promoter-TSS (YPL144W)	protein_coding-promoter-TSS (YPL144W)	-245	YPL144W	YPL144W	YPL144W			POC4			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_402	VII	598937	599254	+	45	NA	promoter-TSS (YGR055W)	protein_coding-promoter-TSS (YGR055W)	-322	YGR055W	YGR055W	YGR055W			MUP1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_885	XV	836572	837098	+	45	NA	promoter-TSS (YOR273C)	protein_coding-promoter-TSS (YOR273C)	-404	YOR273C	YOR273C	YOR273C			TPO4			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_944	XVI	431652	432338	+	45	NA	promoter-TSS (YPL061W)	protein_coding-promoter-TSS (YPL061W)	100	YPL062W	YPL062W	YPL062W			YPL062W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_889	XV	881993	882550	+	45	NA	promoter-TSS (YOR302W)	protein_coding-promoter-TSS (YOR302W)	-494	YOR302W	YOR302W	YOR302W			YOR302W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_577	XI	355253	356106	+	44	NA	promoter-TSS (YKL044W)	protein_coding-promoter-TSS (YKL044W)	-643	YKL044W	YKL044W	YKL044W			YKL044W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_421	VII	785393	785976	+	44	NA	promoter-TSS (YGR146C)	protein_coding-promoter-TSS (YGR146C)	-247	YGR146C-A	YGR146C-A	YGR146C-A			YGR146C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_10	I	141639	142075	+	44	NA	promoter-TSS (YAL003W)	protein_coding-promoter-TSS (YAL003W)	-317	YAL003W	YAL003W	YAL003W			EFB1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_139	IV	368722	369168	+	44	NA	promoter-TSS (YDL047W)	protein_coding-promoter-TSS (YDL047W)	-734	YDL048C	YDL048C	YDL048C			STP4			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_64	II	555288	556178	+	44	NA	promoter-TSS (YBR158W)	protein_coding-promoter-TSS (YBR158W)	-816	YBR158W	YBR158W	YBR158W			AMN1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_98	III	168236	168441	+	44	NA	promoter-TSS (YCR027C)	protein_coding-promoter-TSS (YCR027C)	34	tQ(UUG)C	tQ(UUG)C	tQ(UUG)C			tQ(UUG)C			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_957	XVI	641255	641809	+	44	NA	promoter-TSS (YPR035W)	protein_coding-promoter-TSS (YPR035W)	-676	YPR035W	YPR035W	YPR035W			GLN1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_673	XII	931902	932615	+	44	NA	promoter-TSS (YLR406C)	protein_coding-promoter-TSS (YLR406C)	97	YLR406C-A	YLR406C-A	YLR406C-A			YLR406C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_878	XV	770050	770489	+	44	NA	promoter-TSS (YOR230W)	protein_coding-promoter-TSS (YOR230W)	-531	YOR230W	YOR230W	YOR230W			WTM1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_195	IV	1175733	1175954	+	44	NA	promoter-TSS (tM(CAU)D)	tRNA-promoter-TSS (tM(CAU)D)	14	tM(CAU)D	tM(CAU)D	tM(CAU)D			EMT1			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_72	II	624959	625475	+	44	NA	promoter-TSS (YBR201C-A)	protein_coding-promoter-TSS (YBR201C-A)	-521	YBR201C-A	YBR201C-A	YBR201C-A			YBR201C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_206	IV	1345326	1345603	+	44	NA	promoter-TSS (YDR441C)	protein_coding-promoter-TSS (YDR441C)	-183	YDR442W	YDR442W	YDR442W			YDR442W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_811	XIV	661866	662590	+	44	NA	promoter-TSS (YNR016C)	protein_coding-promoter-TSS (YNR016C)	-685	YNR017W	YNR017W	YNR017W			TIM23			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_573	XI	322254	322788	+	44	NA	promoter-TSS (YKL062W)	protein_coding-promoter-TSS (YKL062W)	-707	YKL062W	YKL062W	YKL062W			MSN4			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_744	XIII	758907	759479	+	43	NA	promoter-TSS (YMR244C-A)	protein_coding-promoter-TSS (YMR244C-A)	-362	YMR244C-A	YMR244C-A	YMR244C-A			COA6			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_757	XIII	914899	915479	+	43	NA	promoter-TSS (YMR319C)	protein_coding-promoter-TSS (YMR319C)	-651	YMR319C	YMR319C	YMR319C			FET4			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_862	XV	511317	511770	+	43	NA	promoter-TSS (YOR098C)	protein_coding-promoter-TSS (YOR098C)	-282	YOR099W	YOR099W	YOR099W			KTR1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_403	VII	609467	610340	+	43	NA	promoter-TSS (YGR060W)	protein_coding-promoter-TSS (YGR060W)	319	snR48	snR48	snR48			snR48			snoRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_184	IV	992854	993283	+	43	NA	promoter-TSS (YDR261C-C)	protein_coding-promoter-TSS (YDR261C-C)	-66	YDR262W	YDR262W	YDR262W			YDR262W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_7	I	68093	68739	+	43	NA	promoter-TSS (YAL040C)	protein_coding-promoter-TSS (YAL040C)	-896	YAL040C	YAL040C	YAL040C			CLN3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_709	XIII	306122	306939	+	43	NA	promoter-TSS (YMR016C)	protein_coding-promoter-TSS (YMR016C)	-937	YMR016C	YMR016C	YMR016C			SOK2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_749	XIII	810892	811146	+	43	NA	promoter-TSS (YMR272C)	protein_coding-promoter-TSS (YMR272C)	-70	YMR272W-B	YMR272W-B	YMR272W-B			YMR272W-B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_712	XIII	347008	347461	+	43	NA	promoter-TSS (YMR037C)	protein_coding-promoter-TSS (YMR037C)	-717	YMR037C	YMR037C	YMR037C			MSN2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_984	XVI	942464	942770	+	43	NA	promoter-TSS (YPR202W)	protein_coding-promoter-TSS (YPR202W)	-415	YPR202W	YPR202W	YPR202W			YPR202W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_891	XV	901287	901585	+	42	NA	promoter-TSS (YOR312C)	protein_coding-promoter-TSS (YOR312C)	-242	YOR312C	YOR312C	YOR312C			RPL20B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_531	X	609013	609242	+	42	NA	promoter-TSS (YJR095W)	protein_coding-promoter-TSS (YJR095W)	-646	YJR095W	YJR095W	YJR095W			SFC1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_786	XIV	355274	355921	+	42	NA	promoter-TSS (YNL144C)	protein_coding-promoter-TSS (YNL144C)	-555	YNL144C	YNL144C	YNL144C			YNL144C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_626	XII	329362	329641	+	42	NA	promoter-TSS (YLR094C)	protein_coding-promoter-TSS (YLR094C)	-263	YLR094C	YLR094C	YLR094C			GIS3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_872	XV	670889	671396	+	42	NA	promoter-TSS (YOR178C)	protein_coding-promoter-TSS (YOR178C)	-901	YOR178C	YOR178C	YOR178C			GAC1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_83	II	760942	761247	+	42	NA	promoter-TSS (YBR277C)	protein_coding-promoter-TSS (YBR277C)	-163	YBR279W	YBR279W	YBR279W			PAF1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_601	XI	589648	590222	+	42	NA	promoter-TSS (YKR079C)	protein_coding-promoter-TSS (YKR079C)	-460	YKR080W	YKR080W	YKR080W			MTD1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_603	XI	614786	615333	+	42	NA	promoter-TSS (YKR093W)	protein_coding-promoter-TSS (YKR093W)	-671	YKR093W	YKR093W	YKR093W			PTR2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_894	XV	911877	912306	+	42	NA	promoter-TSS (YOR319W)	protein_coding-promoter-TSS (YOR319W)	345	YOR318C	YOR318C	YOR318C			YOR318C			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_418	VII	766125	766540	+	42	NA	promoter-TSS (YGR138C)	protein_coding-promoter-TSS (YGR138C)	606	YGR139W	YGR139W	YGR139W			YGR139W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_888	XV	877756	878135	+	41	NA	promoter-TSS (YOR298C-A)	protein_coding-promoter-TSS (YOR298C-A)	-260	YOR298C-A	YOR298C-A	YOR298C-A			MBF1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_323	V	482908	483272	+	41	NA	promoter-TSS (YER155C)	protein_coding-promoter-TSS (YER155C)	-242	YER155C	YER155C	YER155C			BEM2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_294	V	280908	281458	+	41	NA	promoter-TSS (YER062C)	protein_coding-promoter-TSS (YER062C)	-501	YER062C	YER062C	YER062C			GPP2			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_903	XV	1043185	1043690	+	41	NA	promoter-TSS (YOR375C)	protein_coding-promoter-TSS (YOR375C)	246	YOR376W	YOR376W	YOR376W			YOR376W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_154	IV	550762	551471	+	41	NA	promoter-TSS (YDR046C)	protein_coding-promoter-TSS (YDR046C)	-540	YDR046C	YDR046C	YDR046C			BAP3			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_717	XIII	379124	379447	+	41	NA	promoter-TSS (YMR050C)	protein_coding-promoter-TSS (YMR050C)	123	tW(CCA)M	tW(CCA)M	tW(CCA)M			tW(CCA)M			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_135	IV	321636	322207	+	41	NA	promoter-TSS (YDL075W)	protein_coding-promoter-TSS (YDL075W)	-305	YDL075W	YDL075W	YDL075W			RPL31A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_676	XII	1011990	1012496	+	41	NA	promoter-TSS (YLR436C)	protein_coding-promoter-TSS (YLR436C)	-220	YLR437C	YLR437C	YLR437C			DIF1			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_649	XII	658069	658607	+	41	NA	promoter-TSS (YLR257W)	protein_coding-promoter-TSS (YLR257W)	-488	YLR257W	YLR257W	YLR257W			YLR257W			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_962	XVI	689594	689902	+	41	NA	promoter-TSS (YPR072W)	protein_coding-promoter-TSS (YPR072W)	183	tS(UGA)P	tS(UGA)P	tS(UGA)P			SUP16			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_316	V	435501	435886	+	40	NA	TTS (tK(CUU)E2)	tRNA-TTS (tK(CUU)E2)	131	tK(CUU)E2	tK(CUU)E2	tK(CUU)E2			tK(CUU)E2			tRNA
OSMOTIC_STRESS_T100_SE_REP1_peak_120	IV	130578	130853	+	40	NA	promoter-TSS (YDL184C)	protein_coding-promoter-TSS (YDL184C)	-231	YDL184C	YDL184C	YDL184C			RPL41A			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_218	IV	1450901	1451165	+	40	NA	promoter-TSS (YDR500C)	protein_coding-promoter-TSS (YDR500C)	-180	YDR500C	YDR500C	YDR500C			RPL37B			protein_coding
OSMOTIC_STRESS_T100_SE_REP1_peak_983	XVI	927660	928377	+	40	NA	TTS (YPR195C)	protein_coding-TTS (YPR195C)	276	YPR195C	YPR195C	YPR195C			YPR195C			protein_coding
