# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mRp.clN.saf" "-s" "0" "-o" "consensus_peaks.mRp.clN.featureCounts.txt" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam
Interval_489	VI	176711	176920	+	210	3	6	3	7
Interval_490	VI	182605	184379	+	1775	47	52	53	58
Interval_491	VI	191553	191940	+	388	4	6	6	6
Interval_492	VI	194147	194549	+	403	0	4	0	4
Interval_493	VI	204738	205229	+	492	7	13	8	14
Interval_494	VI	210604	211364	+	761	6	12	6	13
Interval_495	VI	212906	213166	+	261	6	5	6	5
Interval_496	VI	221552	221929	+	378	27	32	39	40
Interval_497	VI	224817	226860	+	2044	105	123	115	140
Interval_498	VI	233661	233917	+	257	6	5	6	5
Interval_499	VI	249853	250058	+	206	4	4	5	6
Interval_500	VI	251873	252378	+	506	5	13	6	13
Interval_501	VI	255453	256489	+	1037	5	21	6	22
Interval_502	VI	263154	263897	+	744	14	11	15	12
Interval_503	VI	269914	270161	+	248	13	10	8	10
Interval_504	VII	0	684	+	685	35	30	43	50
Interval_505	VII	10153	10482	+	330	8	5	8	6
Interval_506	VII	23172	23775	+	604	19	29	23	30
Interval_507	VII	55710	56510	+	801	8	15	11	15
Interval_508	VII	67187	67598	+	412	7	17	7	19
Interval_509	VII	73426	74758	+	1333	19	37	20	40
Interval_510	VII	81172	81405	+	234	5	5	4	5
Interval_511	VII	93724	95626	+	1903	16	18	15	18
Interval_512	VII	110480	110943	+	464	10	14	11	18
Interval_513	VII	115491	115917	+	427	13	11	14	14
Interval_514	VII	121882	122576	+	695	12	20	14	22
Interval_515	VII	123430	124221	+	792	4	8	5	8
Interval_516	VII	148971	149403	+	433	17	26	18	28
Interval_517	VII	152844	153097	+	254	9	7	12	8
Interval_518	VII	156290	156490	+	201	5	4	7	4
Interval_519	VII	157531	157804	+	274	4	7	4	7
Interval_520	VII	159334	159608	+	275	4	4	5	4
Interval_521	VII	165098	166727	+	1630	26	29	24	30
Interval_522	VII	190711	191122	+	412	7	6	10	8
Interval_523	VII	197142	198036	+	895	16	31	18	29
Interval_524	VII	205310	206662	+	1353	13	31	14	34
Interval_525	VII	228351	228722	+	372	9	14	9	15
Interval_526	VII	229904	230139	+	236	2	11	2	12
Interval_527	VII	254256	255521	+	1266	9	16	12	18
Interval_528	VII	271185	272272	+	1088	62	78	69	90
Interval_529	VII	277021	277556	+	536	15	15	19	18
Interval_530	VII	284133	284344	+	212	0	4	1	6
Interval_531	VII	287100	287596	+	497	7	10	8	12
Interval_532	VII	289406	289606	+	201	2	6	2	6
Interval_533	VII	306298	306567	+	270	3	7	4	8
Interval_534	VII	310663	312451	+	1789	13	16	17	18
Interval_535	VII	316639	316829	+	191	1	3	3	5
Interval_536	VII	319711	320035	+	325	6	9	8	9
Interval_537	VII	323752	324138	+	387	9	8	9	8
Interval_538	VII	324664	325065	+	402	4	8	7	8
Interval_539	VII	345629	346269	+	641	8	9	11	9
Interval_540	VII	347018	347769	+	752	3	8	5	10
Interval_541	VII	366072	366407	+	336	15	6	14	7
Interval_542	VII	368302	368649	+	348	7	12	8	13
Interval_543	VII	370931	371648	+	718	27	20	29	25
Interval_544	VII	377109	377360	+	252	1	3	2	4
Interval_545	VII	383354	383615	+	262	3	6	5	7
Interval_546	VII	384582	385202	+	621	22	33	27	37
Interval_547	VII	397866	399670	+	1805	50	61	54	69
Interval_548	VII	404387	404676	+	290	3	2	4	3
Interval_549	VII	405410	405687	+	278	1	9	1	12
Interval_550	VII	413105	413916	+	812	25	31	28	33
Interval_551	VII	422883	423712	+	830	11	22	13	26
Interval_552	VII	428162	428505	+	344	10	12	11	12
Interval_553	VII	433106	433937	+	832	16	19	19	22
Interval_554	VII	438240	438883	+	644	17	23	20	20
Interval_555	VII	443307	443559	+	253	4	5	5	6
Interval_556	VII	472473	472709	+	237	2	7	3	8
Interval_557	VII	482958	484206	+	1249	64	43	69	43
Interval_558	VII	506664	506869	+	206	4	4	5	4
Interval_559	VII	516171	516716	+	546	10	16	10	18
Interval_560	VII	525526	525884	+	359	7	5	7	7
Interval_561	VII	528373	528898	+	526	9	17	10	17
Interval_562	VII	534776	535210	+	435	9	7	9	8
Interval_563	VII	541716	541938	+	223	3	2	4	2
Interval_564	VII	544427	544798	+	372	7	8	11	9
Interval_565	VII	546257	547767	+	1511	14	30	18	33
Interval_566	VII	555250	555707	+	458	14	14	18	14
Interval_567	VII	557673	557873	+	201	4	7	4	9
Interval_568	VII	560137	560370	+	234	4	8	4	11
Interval_569	VII	561604	561909	+	306	3	6	6	7
Interval_570	VII	576463	577069	+	607	13	19	13	18
Interval_571	VII	581747	581947	+	201	2	5	3	6
Interval_572	VII	584033	584670	+	638	7	11	7	12
Interval_573	VII	591614	593065	+	1452	30	50	31	52
Interval_574	VII	598927	599254	+	328	7	14	7	15
Interval_575	VII	609245	610449	+	1205	29	44	29	47
Interval_576	VII	617645	618032	+	388	3	10	4	11
Interval_577	VII	625147	625609	+	463	7	21	8	27
Interval_578	VII	640471	640823	+	353	7	10	7	11
Interval_579	VII	649015	649215	+	201	5	4	5	4
Interval_580	VII	650710	651141	+	432	14	21	14	23
Interval_581	VII	654076	654358	+	283	6	11	8	11
Interval_582	VII	661710	662083	+	374	11	13	13	13
Interval_583	VII	667821	668068	+	248	6	4	7	5
Interval_584	VII	676261	676616	+	356	3	6	3	6
Interval_585	VII	677598	678026	+	429	5	11	4	11
Interval_586	VII	700604	700980	+	377	4	16	5	18
Interval_587	VII	702728	703280	+	553	13	16	14	16
Interval_588	VII	706819	707245	+	427	9	4	10	6
Interval_589	VII	726474	726967	+	494	21	24	23	26
Interval_590	VII	733146	733732	+	587	13	16	14	16
Interval_591	VII	739048	739843	+	796	13	36	15	40
Interval_592	VII	753958	754357	+	400	3	7	4	7
Interval_593	VII	756495	756827	+	333	4	8	4	8
Interval_594	VII	765078	765287	+	210	1	4	3	4
Interval_595	VII	766005	766552	+	548	12	20	14	21
Interval_596	VII	771986	772277	+	292	8	9	10	8
Interval_597	VII	774323	774760	+	438	16	22	19	27
Interval_598	VII	779725	779925	+	201	4	2	4	2
Interval_599	VII	785394	786047	+	654	20	32	20	32
Interval_600	VII	788229	788813	+	585	17	24	20	31
Interval_601	VII	794253	794453	+	201	2	7	2	7
Interval_602	VII	798110	798456	+	347	8	6	8	10
Interval_603	VII	809668	810142	+	475	13	25	16	28
Interval_604	VII	810973	811251	+	279	5	7	5	8
Interval_605	VII	823320	823886	+	567	9	10	10	9
Interval_606	VII	834579	835372	+	794	4	8	4	8
Interval_607	VII	845418	845914	+	497	6	6	6	7
Interval_608	VII	848748	849087	+	340	5	7	7	9
Interval_609	VII	850605	851168	+	564	2	12	4	11
Interval_610	VII	856492	857790	+	1299	29	49	37	53
Interval_611	VII	882660	884468	+	1809	63	56	76	64
Interval_612	VII	894183	894626	+	444	4	8	7	9
Interval_613	VII	904951	905855	+	905	40	66	45	75
Interval_614	VII	912974	913541	+	568	6	11	7	11
Interval_615	VII	914831	915158	+	328	6	12	6	15
Interval_616	VII	919757	920591	+	835	32	29	36	30
Interval_617	VII	930985	931241	+	257	4	3	4	3
Interval_618	VII	939098	939886	+	789	6	11	8	12
Interval_619	VII	953603	953864	+	262	3	8	3	10
Interval_620	VII	958464	959766	+	1303	24	16	26	16
Interval_621	VII	974222	974877	+	656	17	12	16	14
Interval_622	VII	976809	977202	+	394	11	16	11	16
Interval_623	VII	986897	987750	+	854	32	42	37	41
Interval_624	VII	1000021	1000768	+	748	42	34	44	38
Interval_625	VII	1007487	1007755	+	269	4	5	6	5
Interval_626	VII	1011244	1011444	+	201	3	5	3	6
Interval_627	VII	1022017	1022253	+	237	8	2	9	3
Interval_628	VII	1025916	1027205	+	1290	18	29	19	32
Interval_629	VII	1050189	1050638	+	450	8	15	10	15
Interval_630	VII	1051853	1052644	+	792	12	12	14	12
Interval_631	VII	1060007	1060260	+	254	4	6	4	6
Interval_632	VII	1061747	1062175	+	429	3	9	5	10
Interval_633	VII	1064845	1065364	+	520	7	12	7	12
Interval_634	VII	1069380	1070198	+	819	8	9	9	9
Interval_635	VII	1083725	1084551	+	827	47	57	60	66
Interval_636	VIII	0	346	+	347	17	23	34	41
Interval_637	VIII	4934	5498	+	565	19	13	24	17
Interval_638	VIII	10727	11131	+	405	4	5	6	5
Interval_639	VIII	17341	18085	+	745	15	12	18	12
Interval_640	VIII	34648	35082	+	435	7	9	7	9
Interval_641	VIII	47982	48697	+	716	34	26	37	27
Interval_642	VIII	50699	50908	+	210	4	10	7	12
Interval_643	VIII	54464	56305	+	1842	29	52	32	55
Interval_644	VIII	62474	62827	+	354	6	6	7	7
Interval_645	VIII	98226	98990	+	765	23	32	26	35
Interval_646	VIII	103812	104181	+	370	6	9	7	9
Interval_647	VIII	115075	116151	+	1077	11	13	14	14
Interval_648	VIII	122081	122798	+	718	50	31	54	36
Interval_649	VIII	125995	126403	+	409	17	24	19	25
Interval_650	VIII	132976	133378	+	403	4	4	4	6
Interval_651	VIII	134107	134448	+	342	2	5	3	5
Interval_652	VIII	143612	143911	+	300	7	9	7	13
Interval_653	VIII	146190	146413	+	224	7	12	8	13
Interval_654	VIII	148736	149159	+	424	21	14	24	15
Interval_655	VIII	150906	151418	+	513	8	7	10	7
Interval_656	VIII	175010	175403	+	394	3	9	5	10
Interval_657	VIII	190061	190579	+	519	12	13	12	13
Interval_658	VIII	209035	209479	+	445	5	4	5	4
Interval_659	VIII	222633	222861	+	229	5	6	6	7
Interval_660	VIII	227246	227446	+	201	5	3	7	5
Interval_661	VIII	236043	236566	+	524	28	29	31	34
Interval_662	VIII	255966	256444	+	479	3	6	2	7
Interval_663	VIII	267094	267446	+	353	10	9	10	11
Interval_664	VIII	272335	272894	+	560	7	14	7	17
Interval_665	VIII	280163	280603	+	441	7	8	9	8
Interval_666	VIII	292827	294009	+	1183	33	31	34	31
Interval_667	VIII	296759	297192	+	434	12	20	13	22
Interval_668	VIII	315880	316307	+	428	6	6	6	7
Interval_669	VIII	341627	342261	+	635	4	11	5	11
Interval_670	VIII	354559	355111	+	553	5	8	5	9
Interval_671	VIII	368005	368473	+	469	6	4	7	4
Interval_672	VIII	374306	375575	+	1270	17	27	18	32
Interval_673	VIII	382782	383240	+	459	21	30	23	32
Interval_674	VIII	388638	388950	+	313	5	10	6	13
Interval_675	VIII	401081	401320	+	240	3	8	4	8
Interval_676	VIII	422387	422863	+	477	12	17	12	18
Interval_677	VIII	424133	424526	+	394	4	2	5	3
Interval_678	VIII	437099	437588	+	490	6	4	7	5
Interval_679	VIII	450639	453305	+	2667	86	61	94	71
Interval_680	VIII	466915	467208	+	294	5	8	7	8
Interval_681	VIII	470526	470777	+	252	7	2	8	3
Interval_682	VIII	487975	489075	+	1101	7	11	6	11
Interval_683	VIII	497012	499016	+	2005	11	24	13	26
Interval_684	VIII	505519	506113	+	595	19	24	21	26
Interval_685	VIII	512140	512438	+	299	5	9	6	9
Interval_686	VIII	517271	518065	+	795	8	5	8	6
Interval_687	VIII	518568	518768	+	201	3	1	4	2
Interval_688	VIII	521983	522185	+	203	3	5	6	5
Interval_689	VIII	531513	531760	+	248	2	9	2	9
Interval_690	VIII	540826	541365	+	540	6	7	10	7
Interval_691	VIII	548692	549436	+	745	6	3	17	10
Interval_692	VIII	553941	554141	+	201	6	3	5	1
Interval_693	VIII	556264	557057	+	794	39	39	47	40
Interval_694	X	30671	31227	+	557	6	7	7	8
Interval_695	X	36087	36870	+	784	11	12	12	12
Interval_696	X	58920	59341	+	422	6	6	9	6
Interval_697	X	60206	60746	+	541	4	12	5	12
Interval_698	X	68854	69251	+	398	4	20	5	23
Interval_699	X	73552	75829	+	2278	39	43	40	42
Interval_700	X	79572	80010	+	439	7	7	9	8
Interval_701	X	82642	83681	+	1040	14	19	14	20
Interval_702	X	90149	90658	+	510	24	35	24	39
Interval_703	X	101717	101947	+	231	2	2	2	4
Interval_704	X	104794	105106	+	313	1	7	1	8
Interval_705	X	106071	106475	+	405	5	6	6	8
Interval_706	X	115681	116601	+	921	16	30	19	34
Interval_707	X	119890	120810	+	921	34	28	36	30
Interval_708	X	123223	123646	+	424	16	11	16	14
Interval_709	X	136289	137248	+	960	18	21	17	21
Interval_710	X	139584	140272	+	689	6	11	7	12
Interval_711	X	146151	146751	+	601	3	6	4	6
Interval_712	X	150615	150835	+	221	6	8	7	8
Interval_713	X	157359	158010	+	652	25	18	27	18
Interval_714	X	159757	160408	+	652	24	42	23	43
Interval_715	X	173155	173580	+	426	10	7	10	10
Interval_716	X	180398	180598	+	201	2	4	2	5
Interval_717	X	189525	189832	+	308	4	5	4	6
Interval_718	X	195325	196153	+	829	30	21	33	21
Interval_719	X	204723	205211	+	489	3	11	4	13
Interval_720	X	220176	220745	+	570	21	20	22	23
Interval_721	X	223986	224469	+	484	17	11	18	13
Interval_722	X	227805	228400	+	596	13	8	17	9
Interval_723	X	236459	236909	+	451	9	9	10	10
Interval_724	X	241622	241853	+	232	5	6	6	6
Interval_725	X	256853	257126	+	274	4	5	5	6
Interval_726	X	268399	268719	+	321	6	6	6	7
Interval_727	X	278258	278640	+	383	1	4	0	5
Interval_728	X	291158	291511	+	354	13	7	10	7
Interval_729	X	294272	295140	+	869	39	45	38	47
Interval_730	X	316473	316746	+	274	6	5	7	6
Interval_731	X	337365	337949	+	585	13	12	15	13
Interval_732	X	348917	349431	+	515	7	5	6	6
Interval_733	X	354159	354489	+	331	4	9	5	10
Interval_734	X	355398	355788	+	391	5	8	8	11
Interval_735	X	360540	361090	+	551	12	17	12	17
Interval_736	X	374006	375019	+	1014	14	15	16	15
Interval_737	X	378389	378651	+	263	7	10	7	12
Interval_738	X	381068	381268	+	201	4	3	6	3
Interval_739	X	383475	383665	+	191	1	5	2	6
Interval_740	X	391175	392269	+	1095	37	34	40	41
Interval_741	X	396695	397061	+	367	5	4	7	5
Interval_742	X	413482	413715	+	234	6	5	6	6
Interval_743	X	414978	416114	+	1137	12	12	14	15
Interval_744	X	421632	421832	+	201	3	5	3	5
Interval_745	X	424164	425012	+	849	16	18	19	20
Interval_746	X	453717	453914	+	198	7	3	7	4
Interval_747	X	454789	455974	+	1186	33	32	32	38
Interval_748	X	466201	467503	+	1303	11	24	15	26
Interval_749	X	471739	471939	+	201	4	5	4	6
Interval_750	X	517586	518115	+	530	8	10	8	11
Interval_751	X	521708	522010	+	303	9	12	12	13
Interval_752	X	524047	525064	+	1018	9	12	9	19
Interval_753	X	525593	526208	+	616	15	15	16	12
Interval_754	X	531548	532285	+	738	9	8	11	9
Interval_755	X	538484	538799	+	316	5	6	7	7
Interval_756	X	545269	545968	+	700	11	17	11	22
Interval_757	X	555625	555827	+	203	4	5	4	6
Interval_758	X	578281	578743	+	463	8	5	7	6
Interval_759	X	585382	585968	+	587	6	9	5	10
Interval_760	X	598369	598661	+	293	6	9	6	12
Interval_761	X	607967	608270	+	304	9	6	10	10
Interval_762	X	609012	609251	+	240	6	11	6	12
Interval_763	X	615177	615691	+	515	5	11	5	14
Interval_764	X	617816	618157	+	342	5	12	6	18
Interval_765	X	623052	623720	+	669	18	26	19	30
Interval_766	X	628814	629061	+	248	1	4	1	6
Interval_767	X	633081	633447	+	367	5	10	8	11
Interval_768	X	638712	639757	+	1046	26	42	23	42
Interval_769	X	640437	640644	+	208	3	12	2	12
Interval_770	X	646525	647363	+	839	23	35	27	34
Interval_771	X	651328	651836	+	509	15	22	16	25
Interval_772	X	656120	656323	+	204	2	1	2	2
Interval_773	X	662915	663827	+	913	26	47	30	52
Interval_774	X	683474	684646	+	1173	6	20	7	20
Interval_775	X	690587	690882	+	296	7	2	10	2
Interval_776	X	703138	704138	+	1001	65	67	69	70
Interval_777	X	715941	716197	+	257	5	7	8	8
Interval_778	X	717956	718168	+	213	1	9	2	9
Interval_779	X	719146	719393	+	248	5	4	5	5
Interval_780	X	721522	721764	+	243	4	4	4	4
Interval_781	X	745006	745751	+	746	27	23	38	42
Interval_782	XI	0	701	+	702	52	52	55	64
Interval_783	XI	24690	26213	+	1524	21	26	22	25
Interval_784	XI	38255	39015	+	761	12	15	13	16
Interval_785	XI	46219	46909	+	691	5	8	5	9
Interval_786	XI	48038	48435	+	398	2	7	2	7
Interval_787	XI	67764	68870	+	1107	40	40	43	46
Interval_788	XI	69577	69777	+	201	7	6	7	6
Interval_789	XI	73934	74789	+	856	7	10	8	10
Interval_790	XI	75617	75841	+	225	9	2	10	2
Interval_791	XI	80471	81119	+	649	10	15	11	15
Interval_792	XI	82724	83031	+	308	4	8	6	8
Interval_793	XI	84034	84246	+	213	2	5	4	6
Interval_794	XI	93437	93951	+	515	13	18	14	18
Interval_795	XI	99304	100111	+	808	43	56	46	58
Interval_796	XI	106781	106980	+	200	4	2	6	3
Interval_797	XI	108858	109304	+	447	10	8	10	8
Interval_798	XI	118438	118972	+	535	5	4	5	6
Interval_799	XI	134093	134300	+	208	3	5	4	6
Interval_800	XI	140859	141112	+	254	7	5	8	6
Interval_801	XI	143242	143523	+	282	7	6	7	8
Interval_802	XI	146843	147163	+	321	8	7	10	9
Interval_803	XI	154536	154725	+	190	3	3	3	2
Interval_804	XI	158274	158602	+	329	5	12	7	14
Interval_805	XI	163580	164908	+	1329	35	30	35	31
Interval_806	XI	166091	166329	+	239	5	5	6	5
Interval_807	XI	171380	171896	+	517	8	13	7	12
Interval_808	XI	176539	176739	+	201	2	4	4	4
Interval_809	XI	202970	203409	+	440	12	14	12	15
Interval_810	XI	216693	217223	+	531	9	15	8	17
Interval_811	XI	219786	220253	+	468	8	13	10	14
Interval_812	XI	225977	226422	+	446	7	12	8	13
Interval_813	XI	230318	231750	+	1433	39	46	43	48
Interval_814	XI	247880	248509	+	630	9	9	10	9
Interval_815	XI	258394	259011	+	618	31	34	30	40
Interval_816	XI	260238	260912	+	675	18	22	17	23
Interval_817	XI	277952	278867	+	916	13	13	16	14
Interval_818	XI	280199	280465	+	267	6	5	7	5
Interval_819	XI	302852	303217	+	366	8	3	9	4
Interval_820	XI	308055	309111	+	1057	22	29	25	33
Interval_821	XI	317051	317427	+	377	7	6	8	7
Interval_822	XI	321849	322796	+	948	18	29	20	27
Interval_823	XI	326649	328305	+	1657	43	38	45	37
Interval_824	XI	333458	334076	+	619	9	2	9	5
Interval_825	XI	338977	339760	+	784	13	10	16	13
Interval_826	XI	340619	341000	+	382	10	9	10	11
Interval_827	XI	355262	356302	+	1041	42	44	40	45
Interval_828	XI	361999	362440	+	442	3	6	3	7
Interval_829	XI	364511	364752	+	242	2	4	2	4
Interval_830	XI	369438	369662	+	225	3	3	2	2
Interval_831	XI	379379	379779	+	401	4	12	4	18
Interval_832	XI	381920	383504	+	1585	32	43	31	46
Interval_833	XI	385093	385773	+	681	14	14	18	18
Interval_834	XI	393295	393849	+	555	7	10	7	11
Interval_835	XI	408140	408600	+	461	7	10	10	12
Interval_836	XI	428922	429341	+	420	4	16	6	19
Interval_837	XI	431284	431795	+	512	23	16	28	16
Interval_838	XI	439366	439894	+	529	8	11	10	12
Interval_839	XI	451256	452149	+	894	9	9	12	7
Interval_840	XI	462757	463883	+	1127	17	20	20	21
Interval_841	XI	490848	491184	+	337	2	3	4	4
Interval_842	XI	506392	506693	+	302	5	5	6	5
Interval_843	XI	513170	514087	+	918	13	23	15	28
Interval_844	XI	518199	519284	+	1086	56	57	61	65
Interval_845	XI	526380	526588	+	209	1	3	2	3
Interval_846	XI	533668	533949	+	282	1	10	1	11
Interval_847	XI	535247	535843	+	597	9	6	9	6
Interval_848	XI	551009	551741	+	733	3	14	3	15
Interval_849	XI	554746	554978	+	233	4	5	4	6
Interval_850	XI	558155	559587	+	1433	10	11	11	10
Interval_851	XI	567270	567715	+	446	3	9	5	11
Interval_852	XI	571056	571444	+	389	6	9	7	9
Interval_853	XI	578341	579345	+	1005	17	15	19	19
Interval_854	XI	581008	582134	+	1127	12	33	12	33
Interval_855	XI	589647	590222	+	576	6	23	7	25
Interval_856	XI	608326	608678	+	353	1	11	1	11
Interval_857	XI	614041	615379	+	1339	24	34	26	36
Interval_858	XI	618733	619051	+	319	5	11	6	12
Interval_859	XI	630331	630903	+	573	13	15	15	17
Interval_860	XI	665993	666816	+	824	68	53	82	56
Interval_861	XII	0	304	+	305	20	21	31	42
Interval_862	XII	5517	6004	+	488	22	16	34	24
Interval_863	XII	11025	11973	+	949	30	28	42	39
Interval_864	XII	22748	23361	+	614	13	7	12	9
Interval_865	XII	28815	29015	+	201	3	4	3	6
Interval_866	XII	36636	37111	+	476	8	10	7	11
Interval_867	XII	40389	40615	+	227	3	8	3	9
Interval_868	XII	48602	49732	+	1131	15	11	13	13
Interval_869	XII	53910	54151	+	242	5	5	7	5
Interval_870	XII	65398	65765	+	368	4	11	5	10
Interval_871	XII	81130	81336	+	207	2	12	2	14
Interval_872	XII	83872	84540	+	669	12	31	15	35
Interval_873	XII	92425	92916	+	492	9	6	10	9
Interval_874	XII	100256	100642	+	387	1	5	1	6
Interval_875	XII	108281	109182	+	902	11	12	11	11
Interval_876	XII	124960	125360	+	401	3	16	4	18
Interval_877	XII	130879	131569	+	691	10	11	10	12
Interval_878	XII	153809	154075	+	267	2	4	2	4
Interval_879	XII	167724	168850	+	1127	5	12	5	14
Interval_880	XII	187326	187862	+	537	18	12	19	12
Interval_881	XII	198058	199850	+	1793	15	28	16	30
Interval_882	XII	212183	212459	+	277	4	3	6	2
Interval_883	XII	232243	234906	+	2664	69	53	70	54
Interval_884	XII	241828	242182	+	355	8	13	7	15
Interval_885	XII	253006	253786	+	781	11	30	13	32
Interval_886	XII	259588	260829	+	1242	13	19	14	21
Interval_887	XII	281676	282853	+	1178	13	8	13	7
Interval_888	XII	289436	289981	+	546	8	8	8	10
Interval_889	XII	300487	300852	+	366	2	4	5	4
Interval_890	XII	323160	323403	+	244	3	4	7	4
Interval_891	XII	329361	329638	+	278	5	12	5	14
Interval_892	XII	341123	341766	+	644	7	13	8	15
Interval_893	XII	346142	346489	+	348	1	2	3	3
Interval_894	XII	348170	348441	+	272	2	3	4	4
Interval_895	XII	369725	371355	+	1631	109	95	118	104
Interval_896	XII	377260	377460	+	201	4	3	6	5
Interval_897	XII	388527	389116	+	590	8	10	7	11
Interval_898	XII	390467	390801	+	335	5	9	8	11
Interval_899	XII	404122	404359	+	238	2	4	3	6
Interval_900	XII	410193	410689	+	497	9	3	11	4
Interval_901	XII	416747	417347	+	601	11	13	11	17
Interval_902	XII	423887	424902	+	1016	55	67	56	75
Interval_903	XII	440001	440626	+	626	8	10	8	11
Interval_904	XII	444955	445155	+	201	3	7	3	8
Interval_905	XII	448243	451078	+	2836	53	31	53	31
Interval_906	XII	459619	460834	+	1216	573	487	2390	1422
Interval_907	XII	489373	491014	+	1642	46	65	55	80
Interval_908	XII	498219	498848	+	630	8	10	11	10
Interval_909	XII	500105	500829	+	725	5	12	7	13
Interval_910	XII	504020	504388	+	369	8	8	8	10
Interval_911	XII	510457	510931	+	475	6	8	6	8
Interval_912	XII	514720	515149	+	430	6	11	6	13
Interval_913	XII	522034	522675	+	642	20	18	23	19
Interval_914	XII	540503	540836	+	334	5	4	6	6
Interval_915	XII	541859	542059	+	201	3	3	3	2
Interval_916	XII	543379	543622	+	244	2	3	3	3
Interval_917	XII	551876	552348	+	473	4	11	6	13
Interval_918	XII	553739	554401	+	663	10	14	10	14
Interval_919	XII	566352	566930	+	579	9	9	9	9
Interval_920	XII	586008	586253	+	246	2	8	2	8
Interval_921	XII	592491	592703	+	213	3	6	3	7
Interval_922	XII	603331	603963	+	633	6	11	7	11
Interval_923	XII	605036	605538	+	503	7	16	10	18
Interval_924	XII	611608	612130	+	523	8	14	8	14
Interval_925	XII	628279	628599	+	321	7	7	7	10
Interval_926	XII	637849	639568	+	1720	25	22	31	20
Interval_927	XII	645367	646050	+	684	17	22	17	24
Interval_928	XII	650758	651265	+	508	3	6	9	9
Interval_929	XII	658032	658644	+	613	21	23	27	23
Interval_930	XII	660200	660416	+	217	4	5	3	7
Interval_931	XII	664937	665640	+	704	8	18	8	20
Interval_932	XII	668934	669134	+	201	1	7	2	9
Interval_933	XII	704174	705030	+	857	19	34	21	33
Interval_934	XII	710452	710956	+	505	9	8	10	9
Interval_935	XII	713205	713495	+	291	4	12	4	13
Interval_936	XII	722532	723745	+	1214	21	29	23	31
Interval_937	XII	728189	728725	+	537	23	27	27	30
Interval_938	XII	737643	738254	+	612	10	9	11	10
Interval_939	XII	759028	759468	+	441	6	23	5	23
Interval_940	XII	764295	764905	+	611	3	9	5	9
Interval_941	XII	781519	781886	+	368	5	12	6	13
Interval_942	XII	783583	784615	+	1033	12	35	13	42
Interval_943	XII	789936	790402	+	467	8	6	10	8
Interval_944	XII	793661	793947	+	287	6	8	6	8
Interval_945	XII	796356	797285	+	930	29	31	30	36
Interval_946	XII	805100	805641	+	542	8	10	11	13
Interval_947	XII	808880	809563	+	684	26	40	27	44
Interval_948	XII	818585	819314	+	730	15	26	16	28
Interval_949	XII	826695	828680	+	1986	28	50	33	54
Interval_950	XII	830437	830850	+	414	8	10	9	10
Interval_951	XII	837549	840152	+	2604	53	60	55	63
Interval_952	XII	853309	853675	+	367	2	7	2	10
Interval_953	XII	875117	875521	+	405	11	20	11	24
Interval_954	XII	877412	878125	+	714	21	17	24	20
Interval_955	XII	897830	898201	+	372	4	9	4	11
Interval_956	XII	902788	904014	+	1227	14	15	14	14
Interval_957	XII	921544	922473	+	930	22	36	24	42
Interval_958	XII	924552	925078	+	527	23	29	33	33
Interval_959	XII	931763	932953	+	1191	36	45	40	46
Interval_960	XII	949602	950988	+	1387	30	32	33	33
Interval_961	XII	954468	954668	+	201	2	6	3	8
Interval_962	XII	962858	963126	+	269	5	4	6	6
Interval_963	XII	1001924	1003145	+	1222	13	10	13	12
Interval_964	XII	1012004	1012569	+	566	13	22	16	23
Interval_965	XII	1018884	1019261	+	378	12	11	11	13
Interval_966	XII	1028054	1028901	+	848	38	46	44	52
Interval_967	XII	1041515	1041791	+	277	5	4	6	5
Interval_968	XII	1043525	1043832	+	308	5	6	6	5
Interval_969	XII	1052015	1052215	+	201	4	4	4	4
Interval_970	XII	1064373	1065453	+	1081	71	65	82	88
Interval_971	XII	1071484	1071937	+	454	9	7	23	23
Interval_972	XIII	5431	5713	+	283	8	7	15	12
Interval_973	XIII	13212	13412	+	201	2	6	3	6
Interval_974	XIII	14431	14863	+	433	7	9	7	11
Interval_975	XIII	16840	17040	+	201	3	5	3	7
Interval_976	XIII	20142	20557	+	416	4	5	4	6
Interval_977	XIII	25939	26830	+	892	38	24	38	29
Interval_978	XIII	29832	30400	+	569	13	16	13	14
Interval_979	XIII	37354	37985	+	632	7	7	7	7
Interval_980	XIII	46566	47207	+	642	7	5	9	6
Interval_981	XIII	67692	68290	+	599	7	12	8	12
Interval_982	XIII	69733	70379	+	647	23	35	26	37
Interval_983	XIII	91055	92081	+	1027	15	23	18	24
Interval_984	XIII	101391	101786	+	396	7	12	8	13
Interval_985	XIII	104226	104645	+	420	5	9	6	12
Interval_986	XIII	119156	119576	+	421	12	8	15	8
