PeakID (cmd=annotatePeaks.pl OSMOTIC_STRESS_T0_PE_REP2_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OSMOTIC_STRESS_T0_PE_REP2_peak_218	VI	224948	225481	+	35	NA	promoter-TSS (YFR033C)	protein_coding-promoter-TSS (YFR033C)	-445	YFR033C	YFR033C	YFR033C			QCR6			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_262	VII	766217	766449	+	35	NA	promoter-TSS (YGR138C)	protein_coding-promoter-TSS (YGR138C)	607	YGR139W	YGR139W	YGR139W			YGR139W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_133	IV	1401337	1401670	+	35	NA	promoter-TSS (YDR470C)	protein_coding-promoter-TSS (YDR470C)	-267	YDR471W	YDR471W	YDR471W			RPL27B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_155	IX	332746	333498	+	35	NA	promoter-TSS (YIL011W)	protein_coding-promoter-TSS (YIL011W)	111	YIL012W	YIL012W	YIL012W			YIL012W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_132	IV	1359592	1359809	+	35	NA	promoter-TSS (YDR449C)	protein_coding-promoter-TSS (YDR449C)	-223	YDR450W	YDR450W	YDR450W			RPS18A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_597	XVI	74932	75526	+	35	NA	promoter-TSS (YPL250C)	protein_coding-promoter-TSS (YPL250C)	-473	YPL250W-A	YPL250W-A	YPL250W-A			YPL250W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_12	I	190007	190753	+	35	NA	exon (YAR035W, exon 1 of 1)	protein_coding-exon (YAR035W, exon 1 of 1)	187	YAR035W	YAR035W	YAR035W			YAT1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_547	XV	274411	274869	+	34	NA	promoter-TSS (YOL025W)	protein_coding-promoter-TSS (YOL025W)	-33	tS(GCU)O	tS(GCU)O	tS(GCU)O			tS(GCU)O			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_603	XVI	281701	281968	+	34	NA	promoter-TSS (YPL143W)	protein_coding-promoter-TSS (YPL143W)	-288	YPL143W	YPL143W	YPL143W			RPL33A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_51	II	554747	556142	+	34	NA	Intergenic	Intergenic	-1105	YBR158W	YBR158W	YBR158W			AMN1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_322	X	195370	195968	+	34	NA	promoter-TSS (YJL115W)	protein_coding-promoter-TSS (YJL115W)	-618	YJL115W	YJL115W	YJL115W			ASF1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_536	XV	82748	83408	+	34	NA	promoter-TSS (YOL125W)	protein_coding-promoter-TSS (YOL125W)	-158	YOL126C	YOL126C	YOL126C			MDH2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_314	X	74269	75749	+	34	NA	promoter-TSS (YJL189W)	protein_coding-promoter-TSS (YJL189W)	293	YJL190C	YJL190C	YJL190C			RPS22A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_39	II	391615	392731	+	34	NA	promoter-TSS (YBR076C-A)	protein_coding-promoter-TSS (YBR076C-A)	120	YBR077C	YBR077C	YBR077C			SLM4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_340	X	646655	647289	+	34	NA	promoter-TSS (YJR119C)	protein_coding-promoter-TSS (YJR119C)	-154	YJR120W	YJR120W	YJR120W			YJR120W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_490	XIII	880511	880987	+	34	NA	promoter-TSS (YMR305C)	protein_coding-promoter-TSS (YMR305C)	-410	YMR306W	YMR306W	YMR306W			FKS3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_67	III	137129	137803	+	34	NA	promoter-TSS (YCR011C)	protein_coding-promoter-TSS (YCR011C)	-280	YCR012W	YCR012W	YCR012W			PGK1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_557	XV	504611	505596	+	33	NA	promoter-TSS (YOR095C)	protein_coding-promoter-TSS (YOR095C)	-691	YOR096W	YOR096W	YOR096W			RPS7A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_437	XII	877505	878047	+	33	NA	promoter-TSS (YLR378C)	protein_coding-promoter-TSS (YLR378C)	-506	YLR380W	YLR380W	YLR380W			CSR1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_296	VIII	148792	149118	+	33	NA	promoter-TSS (YHR021C)	protein_coding-promoter-TSS (YHR021C)	-270	YHR021W-A	YHR021W-A	YHR021W-A			ECM12			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_591	XVI	6615	6905	+	33	NA	promoter-TSS (YPL283C)	protein_coding-promoter-TSS (YPL283C)	-753	YPL283C	YPL283C	YPL283C			YRF1-7			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_178	V	221767	222522	+	33	NA	promoter-TSS (YER033C)	protein_coding-promoter-TSS (YER033C)	298	YER034W	YER034W	YER034W			YER034W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_234	VII	277096	277431	+	33	NA	promoter-TSS (YGL123W)	protein_coding-promoter-TSS (YGL123W)	-354	YGL123W	YGL123W	YGL123W			RPS2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_514	XIV	495084	495406	+	33	NA	promoter-TSS (YNL069C)	protein_coding-promoter-TSS (YNL069C)	-244	YNL069C	YNL069C	YNL069C			RPL16B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_286	VIII	5014	5498	+	33	NA	promoter-TSS (YHL049C)	protein_coding-promoter-TSS (YHL049C)	541	YHL048C-A	YHL048C-A	YHL048C-A			YHL048C-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_413	XII	489428	489784	+	33	NA	promoter-TSS (YLR162W)	protein_coding-promoter-TSS (YLR162W)	33	YLR162W	YLR162W	YLR162W			YLR162W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_111	IV	835806	836231	+	32	NA	promoter-TSS (YDR186C)	protein_coding-promoter-TSS (YDR186C)	-403	YDR188W	YDR188W	YDR188W			CCT6			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_269	VII	856647	857416	+	32	NA	promoter-TSS (YGR180C)	protein_coding-promoter-TSS (YGR180C)	460	tL(CAA)G3	tL(CAA)G3	tL(CAA)G3			tL(CAA)G3			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_217	VI	221565	221864	+	32	NA	promoter-TSS (RUF23)	ncRNA-promoter-TSS (RUF23)	0	RUF23	RUF23	RUF23			RUF23			ncRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_422	XII	658128	658510	+	32	NA	promoter-TSS (YLR257W)	protein_coding-promoter-TSS (YLR257W)	-507	YLR257W	YLR257W	YLR257W			YLR257W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_311	VIII	548703	549412	+	32	NA	exon (YHR214C-B, exon 1 of 2)	protein_coding-exon (YHR214C-B, exon 1 of 2)	289	YHR214C-C	YHR214C-C	YHR214C-C			YHR214C-C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_544	XV	216264	216824	+	32	NA	promoter-TSS (YOL059W)	protein_coding-promoter-TSS (YOL059W)	-407	YOL060C	YOL060C	YOL060C			MAM3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_260	VII	733365	733732	+	32	NA	promoter-TSS (YGR121C)	protein_coding-promoter-TSS (YGR121C)	136	YGR121W-A	YGR121W-A	YGR121W-A			YGR121W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_620	XVI	700071	700331	+	32	NA	promoter-TSS (YPR080W)	protein_coding-promoter-TSS (YPR080W)	-393	YPR080W	YPR080W	YPR080W			TEF1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_460	XIII	195941	196409	+	32	NA	promoter-TSS (YML039W)	protein_coding-promoter-TSS (YML039W)	-5	tP(UGG)M	tP(UGG)M	tP(UGG)M			SUF7			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_270	VII	882559	884350	+	32	NA	exon (YGR192C, exon 1 of 1)	protein_coding-exon (YGR192C, exon 1 of 1)	356	YGR192C	YGR192C	YGR192C			TDH3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_576	XV	836797	837244	+	31	NA	promoter-TSS (YOR273C)	protein_coding-promoter-TSS (YOR273C)	-589	YOR273C	YOR273C	YOR273C			TPO4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_197	V	430941	431326	+	31	NA	promoter-TSS (YER132C)	protein_coding-promoter-TSS (YER132C)	87	snR52	snR52	snR52			snR52			snoRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_102	IV	539038	539685	+	31	NA	promoter-TSS (YDR040C)	protein_coding-promoter-TSS (YDR040C)	-442	YDR041W	YDR041W	YDR041W			RSM10			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_154	IX	316321	316627	+	31	NA	promoter-TSS (YIL018W)	protein_coding-promoter-TSS (YIL018W)	-294	YIL018W	YIL018W	YIL018W			RPL2B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_156	IX	338272	339118	+	31	NA	promoter-TSS (YIL009W)	protein_coding-promoter-TSS (YIL009W)	-649	YIL009W	YIL009W	YIL009W			FAA3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_609	XVI	431437	432215	+	31	NA	promoter-TSS (YPL061W)	protein_coding-promoter-TSS (YPL061W)	-69	YPL062W	YPL062W	YPL062W			YPL062W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_506	XIV	349934	350563	+	31	NA	promoter-TSS (YNL147W)	protein_coding-promoter-TSS (YNL147W)	423	YNL148C	YNL148C	YNL148C			ALF1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_246	VII	482959	483888	+	31	NA	promoter-TSS (YGL007C-A)	protein_coding-promoter-TSS (YGL007C-A)	163	YGL007W	YGL007W	YGL007W			BRP1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_213	VI	95265	95966	+	31	NA	promoter-TSS (YFL021W)	protein_coding-promoter-TSS (YFL021W)	-351	YFL021W	YFL021W	YFL021W			GAT1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_215	VI	183173	184149	+	31	NA	promoter-TSS (YFR017C)	protein_coding-promoter-TSS (YFR017C)	561	YFR018C	YFR018C	YFR018C			YFR018C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_212	VI	90402	90900	+	31	NA	promoter-TSS (YFL023W)	protein_coding-promoter-TSS (YFL023W)	-306	YFL024C	YFL024C	YFL024C			EPL1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_182	V	270269	270501	+	31	NA	promoter-TSS (YER056C-A)	protein_coding-promoter-TSS (YER056C-A)	-200	YER056C-A	YER056C-A	YER056C-A			RPL34A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_364	XI	248095	248500	+	31	NA	promoter-TSS (YKL101W)	protein_coding-promoter-TSS (YKL101W)	70	YKL102C	YKL102C	YKL102C			YKL102C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_63	III	50373	50666	+	31	NA	promoter-TSS (YCL040W)	protein_coding-promoter-TSS (YCL040W)	-65	YCL042W	YCL042W	YCL042W			YCL042W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_349	XI	67864	68407	+	31	NA	promoter-TSS (YKL201C)	protein_coding-promoter-TSS (YKL201C)	-669	YKL201C	YKL201C	YKL201C			MNN4			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_80	IV	130478	130798	+	30	NA	promoter-TSS (YDL184C)	protein_coding-promoter-TSS (YDL184C)	-154	YDL184C	YDL184C	YDL184C			RPL41A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_331	X	391176	392159	+	30	NA	promoter-TSS (YJL026W)	protein_coding-promoter-TSS (YJL026W)	356	YJL028W	YJL028W	YJL028W			YJL028W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_73	III	246656	246866	+	30	NA	promoter-TSS (YCR073C)	protein_coding-promoter-TSS (YCR073C)	-178	YCR073C	YCR073C	YCR073C			SSK22			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_476	XIII	510519	511090	+	30	NA	promoter-TSS (YMR121C)	protein_coding-promoter-TSS (YMR121C)	271	YMR122C	YMR122C	YMR122C			YMR122C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_505	XIV	330945	331248	+	30	NA	promoter-TSS (YNL162W)	protein_coding-promoter-TSS (YNL162W)	-226	YNL162W	YNL162W	YNL162W			RPL42A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_477	XIII	540212	540799	+	30	NA	promoter-TSS (YMR135C)	protein_coding-promoter-TSS (YMR135C)	-449	YMR135C	YMR135C	YMR135C			GID8			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_353	XI	99384	99985	+	30	NA	promoter-TSS (YKL182W)	protein_coding-promoter-TSS (YKL182W)	963	YKL183W	YKL183W	YKL183W			LOT5			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_622	XVI	731904	732170	+	30	NA	promoter-TSS (YPR102C)	protein_coding-promoter-TSS (YPR102C)	-289	YPR102C	YPR102C	YPR102C			RPL11A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_214	VI	106407	106701	+	30	NA	promoter-TSS (YFL014W)	protein_coding-promoter-TSS (YFL014W)	139	YFL015W-A	YFL015W-A	YFL015W-A			YFL015W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_479	XIII	556844	557416	+	30	NA	promoter-TSS (YMR145C)	protein_coding-promoter-TSS (YMR145C)	-655	YMR145C	YMR145C	YMR145C			NDE1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_115	IV	930517	930896	+	30	NA	promoter-TSS (YDR233C)	protein_coding-promoter-TSS (YDR233C)	-349	YDR233C	YDR233C	YDR233C			RTN1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_629	XVI	828849	829432	+	30	NA	promoter-TSS (YPR148C)	protein_coding-promoter-TSS (YPR148C)	-778	YPR149W	YPR149W	YPR149W			NCE102			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_469	XIII	362290	363184	+	30	NA	promoter-TSS (YMR045C)	protein_coding-promoter-TSS (YMR045C)	35	YMR046W-A	YMR046W-A	YMR046W-A			YMR046W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_277	VII	987037	987754	+	30	NA	promoter-TSS (YGR249W)	protein_coding-promoter-TSS (YGR249W)	-654	YGR249W	YGR249W	YGR249W			MGA1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_169	V	84816	85519	+	30	NA	promoter-TSS (YEL034W)	protein_coding-promoter-TSS (YEL034W)	378	YEL035C	YEL035C	YEL035C			UTR5			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_382	XI	518286	519174	+	29	NA	promoter-TSS (YKR040C)	protein_coding-promoter-TSS (YKR040C)	-164	YKR040C	YKR040C	YKR040C			YKR040C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_583	XV	911973	912434	+	29	NA	promoter-TSS (YOR319W)	protein_coding-promoter-TSS (YOR319W)	233	YOR318C	YOR318C	YOR318C			YOR318C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_613	XVI	572298	572705	+	29	NA	promoter-TSS (YPR008W)	protein_coding-promoter-TSS (YPR008W)	232	tG(GCC)P1	tG(GCC)P1	tG(GCC)P1			tG(GCC)P1			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_226	VII	115533	115823	+	29	NA	promoter-TSS (YGL202W)	protein_coding-promoter-TSS (YGL202W)	190	tK(UUU)G1	tK(UUU)G1	tK(UUU)G1			tK(UUU)G1			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_408	XII	369800	371211	+	29	NA	promoter-TSS (YLR110C)	protein_coding-promoter-TSS (YLR110C)	114	YLR111W	YLR111W	YLR111W			YLR111W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_564	XV	638995	639700	+	29	NA	promoter-TSS (YOR161C)	protein_coding-promoter-TSS (YOR161C)	-80	YOR161C-C	YOR161C-C	YOR161C-C			YOR161C-C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_579	XV	882086	882418	+	29	NA	promoter-TSS (YOR302W)	protein_coding-promoter-TSS (YOR302W)	-513	YOR302W	YOR302W	YOR302W			YOR302W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_176	V	192019	192250	+	29	NA	promoter-TSS (YER017C)	protein_coding-promoter-TSS (YER017C)	-346	YER017C	YER017C	YER017C			AFG3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_292	VIII	98327	98966	+	29	NA	promoter-TSS (YHL004W)	protein_coding-promoter-TSS (YHL004W)	149	YHL006C	YHL006C	YHL006C			SHU1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_327	X	294469	295059	+	29	NA	promoter-TSS (YJL076W)	protein_coding-promoter-TSS (YJL076W)	-35	YJL077W-A	YJL077W-A	YJL077W-A			YJL077W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_21	II	60860	61140	+	28	NA	promoter-TSS (YBL087C)	protein_coding-promoter-TSS (YBL087C)	-261	YBL087C	YBL087C	YBL087C			RPL23A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_455	XIII	119195	119589	+	28	NA	promoter-TSS (YML075C)	protein_coding-promoter-TSS (YML075C)	-494	YML075C	YML075C	YML075C			HMG1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_459	XIII	169915	170236	+	28	NA	promoter-TSS (YML052W)	protein_coding-promoter-TSS (YML052W)	-321	YML053C	YML053C	YML053C			YML053C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_539	XV	117582	118148	+	28	NA	promoter-TSS (YOL103W-A)	protein_coding-promoter-TSS (YOL103W-A)	-135	YOL103W-B	YOL103W-B	YOL103W-B			YOL103W-B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_375	XI	382090	382386	+	28	NA	promoter-TSS (YKL030W)	protein_coding-promoter-TSS (YKL030W)	166	YKL031W	YKL031W	YKL031W			YKL031W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_211	VI	82143	82423	+	28	NA	promoter-TSS (YFL026W)	protein_coding-promoter-TSS (YFL026W)	-297	YFL026W	YFL026W	YFL026W			STE2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_573	XV	779557	780954	+	27	NA	promoter-TSS (YOR234C)	protein_coding-promoter-TSS (YOR234C)	148	snR17a	snR17a	snR17a			snR17a			snoRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_343	X	690683	690916	+	27	NA	promoter-TSS (YJR139C)	protein_coding-promoter-TSS (YJR139C)	-162	YJR140W-A	YJR140W-A	YJR140W-A			YJR140W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_558	XV	511364	511637	+	27	NA	promoter-TSS (YOR098C)	protein_coding-promoter-TSS (YOR098C)	-322	YOR098C	YOR098C	YOR098C			NUP1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_560	XV	520559	520863	+	27	NA	promoter-TSS (YOR107W)	protein_coding-promoter-TSS (YOR107W)	-642	YOR107W	YOR107W	YOR107W			RGS2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_552	XV	424267	424646	+	27	NA	promoter-TSS (YOR049C)	protein_coding-promoter-TSS (YOR049C)	161	YOR050C	YOR050C	YOR050C			YOR050C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_604	XVI	338889	339661	+	27	NA	promoter-TSS (YPL111W)	protein_coding-promoter-TSS (YPL111W)	-356	tM(CAU)P	tM(CAU)P	tM(CAU)P			IMT2			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_414	XII	490658	490954	+	27	NA	TTS (YLR162W)	protein_coding-TTS (YLR162W)	400	YLR162W-A	YLR162W-A	YLR162W-A			RRT15			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_468	XIII	352316	353384	+	27	NA	promoter-TSS (YMR041C)	protein_coding-promoter-TSS (YMR041C)	247	YMR042W	YMR042W	YMR042W			ARG80			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_499	XIV	110238	110757	+	27	NA	promoter-TSS (YNL279W)	protein_coding-promoter-TSS (YNL279W)	-86	YNL280C	YNL280C	YNL280C			ERG24			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_174	V	152732	153287	+	27	NA	promoter-TSS (YER001W)	protein_coding-promoter-TSS (YER001W)	-511	YER001W	YER001W	YER001W			MNN1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_336	X	525910	526114	+	27	NA	promoter-TSS (YJR047C)	protein_coding-promoter-TSS (YJR047C)	-323	YJR048W	YJR048W	YJR048W			CYC1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_485	XIII	773980	774498	+	27	NA	promoter-TSS (YMR251W-A)	protein_coding-promoter-TSS (YMR251W-A)	-513	YMR251W-A	YMR251W-A	YMR251W-A			HOR7			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_256	VII	609278	610522	+	27	NA	promoter-TSS (YGR060W)	protein_coding-promoter-TSS (YGR060W)	316	snR48	snR48	snR48			snR48			snoRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_113	IV	893999	894198	+	27	NA	promoter-TSS (YDR216W)	protein_coding-promoter-TSS (YDR216W)	404	YDR215C	YDR215C	YDR215C			YDR215C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_421	XII	650881	651265	+	27	NA	promoter-TSS (YLR256W-A)	protein_coding-promoter-TSS (YLR256W-A)	-44	YLR256W-A	YLR256W-A	YLR256W-A			YLR256W-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_189	V	342554	343401	+	27	NA	promoter-TSS (YER091C)	protein_coding-promoter-TSS (YER091C)	122	YER092W	YER092W	YER092W			IES5			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_116	IV	976221	977073	+	27	NA	promoter-TSS (YDR259C)	protein_coding-promoter-TSS (YDR259C)	582	YDR260C	YDR260C	YDR260C			SWM1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_628	XVI	822029	822543	+	27	NA	promoter-TSS (YPR144C)	protein_coding-promoter-TSS (YPR144C)	-334	YPR145W	YPR145W	YPR145W			ASN1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_617	XVI	678480	679294	+	26	NA	promoter-TSS (YPR063C)	protein_coding-promoter-TSS (YPR063C)	-64	YPR064W	YPR064W	YPR064W			YPR064W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_188	V	335406	335988	+	26	NA	promoter-TSS (YER088C)	protein_coding-promoter-TSS (YER088C)	-230	YER088W-B	YER088W-B	YER088W-B			YER088W-B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_119	IV	1055953	1056192	+	26	NA	promoter-TSS (YDR297W)	protein_coding-promoter-TSS (YDR297W)	-479	YDR297W	YDR297W	YDR297W			SUR2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_369	XI	308076	309044	+	26	NA	promoter-TSS (YKL068W-A)	protein_coding-promoter-TSS (YKL068W-A)	-343	tV(AAC)K1	tV(AAC)K1	tV(AAC)K1			tV(AAC)K1			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_615	XVI	641228	641893	+	26	NA	promoter-TSS (YPR035W)	protein_coding-promoter-TSS (YPR035W)	-648	YPR035W	YPR035W	YPR035W			GLN1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_257	VII	661763	661969	+	26	NA	promoter-TSS (YGR090W)	protein_coding-promoter-TSS (YGR090W)	117	tT(UGU)G1	tT(UGU)G1	tT(UGU)G1			tT(UGU)G1			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_288	VIII	17405	18085	+	26	NA	TTS (YHL041W)	protein_coding-TTS (YHL041W)	353	YHL041W	YHL041W	YHL041W			YHL041W			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_623	XVI	770738	771016	+	26	NA	promoter-TSS (YPR119W)	protein_coding-promoter-TSS (YPR119W)	-776	YPR119W	YPR119W	YPR119W			CLB2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_545	XV	234189	234619	+	26	NA	promoter-TSS (YOL051W)	protein_coding-promoter-TSS (YOL051W)	58	snR81	snR81	snR81			snR81			snoRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_82	IV	215774	216136	+	26	NA	promoter-TSS (YDL137W)	protein_coding-promoter-TSS (YDL137W)	-574	YDL137W	YDL137W	YDL137W			ARF2			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_106	IV	599864	601726	+	26	NA	promoter-TSS (YDR077W)	protein_coding-promoter-TSS (YDR077W)	2	YDR077W	YDR077W	YDR077W			SED1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_339	X	638597	639611	+	26	NA	promoter-TSS (YJR113C)	protein_coding-promoter-TSS (YJR113C)	-129	YJR113C	YJR113C	YJR113C			RSM7			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_321	X	159989	160365	+	26	NA	promoter-TSS (YJL133C-A)	protein_coding-promoter-TSS (YJL133C-A)	-330	YJL133C-A	YJL133C-A	YJL133C-A			YJL133C-A			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_30	II	201953	203359	+	26	NA	promoter-TSS (YBL011W)	protein_coding-promoter-TSS (YBL011W)	600	YBL013W	YBL013W	YBL013W			FMT1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_633	XVI	927795	928940	+	26	NA	promoter-TSS (YPR195C)	protein_coding-promoter-TSS (YPR195C)	-73	YPR195C	YPR195C	YPR195C			YPR195C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_98	IV	488500	489387	+	25	NA	promoter-TSS (YDR022C)	protein_coding-promoter-TSS (YDR022C)	-73	tV(UAC)D	tV(UAC)D	tV(UAC)D			tV(UAC)D			tRNA
OSMOTIC_STRESS_T0_PE_REP2_peak_626	XVI	794576	794848	+	25	NA	promoter-TSS (YPR130C)	protein_coding-promoter-TSS (YPR130C)	-214	YPR131C	YPR131C	YPR131C			NAT3			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_607	XVI	406114	406566	+	25	NA	promoter-TSS (YPL079W)	protein_coding-promoter-TSS (YPL079W)	158	YPL080C	YPL080C	YPL080C			YPL080C			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_541	XV	159012	161354	+	25	NA	TTS (YOL086W-A)	protein_coding-TTS (YOL086W-A)	411	YOL086C	YOL086C	YOL086C			ADH1			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_580	XV	901299	901596	+	25	NA	promoter-TSS (YOR312C)	protein_coding-promoter-TSS (YOR312C)	-253	YOR312C	YOR312C	YOR312C			RPL20B			protein_coding
OSMOTIC_STRESS_T0_PE_REP2_peak_142	IX	68356	69527	+	25	NA	promoter-TSS (YIL149C)	protein_coding-promoter-TSS (YIL149C)	233	YIL148W	YIL148W	YIL148W			RPL40A			protein_coding
