# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mLb.clN.saf" "-s" "0" "-o" "consensus_peaks.mLb.clN.featureCounts.txt" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T150_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T15_PE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T150_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T15_PE_REP1.mLb.clN.sorted.bam
Interval_416	IV	1219068	1219268	+	201	0	3	9	0	3	9
Interval_417	IV	1226364	1226849	+	486	3	6	11	3	7	14
Interval_418	IV	1228266	1228566	+	301	1	0	14	1	1	17
Interval_419	IV	1229507	1229968	+	462	4	3	22	4	3	22
Interval_420	IV	1233642	1234055	+	414	2	7	32	3	7	34
Interval_421	IV	1240128	1240364	+	237	4	0	1	5	0	2
Interval_422	IV	1242203	1243133	+	931	33	44	96	30	45	96
Interval_423	IV	1251409	1252084	+	676	11	17	30	10	19	35
Interval_424	IV	1256749	1257152	+	404	1	3	15	1	3	14
Interval_425	IV	1258201	1258772	+	572	0	4	19	1	4	20
Interval_426	IV	1261264	1261480	+	217	1	4	4	1	4	4
Interval_427	IV	1266432	1267419	+	988	13	15	34	14	17	40
Interval_428	IV	1269529	1270422	+	894	9	12	7	8	13	8
Interval_429	IV	1278509	1280200	+	1692	19	30	95	20	31	100
Interval_430	IV	1288066	1288266	+	201	0	3	8	1	4	10
Interval_431	IV	1288983	1289548	+	566	3	6	27	3	8	30
Interval_432	IV	1292716	1293324	+	609	4	2	13	4	2	17
Interval_433	IV	1294526	1294926	+	401	1	2	10	1	3	11
Interval_434	IV	1300784	1301721	+	938	16	30	43	20	32	46
Interval_435	IV	1305555	1305926	+	372	3	4	11	5	7	14
Interval_436	IV	1317789	1319332	+	1544	4	15	26	4	15	27
Interval_437	IV	1325211	1325449	+	239	1	1	8	3	1	9
Interval_438	IV	1330699	1331100	+	402	2	2	11	2	3	14
Interval_439	IV	1334010	1334493	+	484	4	3	24	5	5	25
Interval_440	IV	1337548	1338006	+	459	2	4	11	2	4	18
Interval_441	IV	1345256	1346065	+	810	7	14	49	7	14	52
Interval_442	IV	1350033	1350287	+	255	3	2	11	2	3	16
Interval_443	IV	1355567	1355998	+	432	14	24	31	16	27	33
Interval_444	IV	1358990	1359901	+	912	23	29	35	23	31	39
Interval_445	IV	1362306	1362740	+	435	10	9	44	11	13	47
Interval_446	IV	1366987	1367378	+	392	0	3	10	1	4	11
Interval_447	IV	1384748	1386933	+	2186	16	29	47	16	29	51
Interval_448	IV	1394659	1395082	+	424	3	4	11	3	6	14
Interval_449	IV	1401274	1401828	+	555	21	23	33	21	24	39
Interval_450	IV	1409993	1412036	+	2044	18	29	54	16	30	56
Interval_451	IV	1416949	1417182	+	234	2	2	7	2	2	10
Interval_452	IV	1419857	1421018	+	1162	10	15	32	11	15	33
Interval_453	IV	1428999	1429597	+	599	14	32	63	18	34	76
Interval_454	IV	1434390	1434723	+	334	4	10	23	3	12	25
Interval_455	IV	1445539	1446102	+	564	3	10	21	4	11	26
Interval_456	IV	1450822	1451211	+	390	8	14	21	9	13	20
Interval_457	IV	1454543	1455040	+	498	9	10	15	11	10	16
Interval_458	IV	1459389	1460208	+	820	7	16	33	7	17	39
Interval_459	IV	1461315	1461951	+	637	9	11	19	10	15	26
Interval_460	IV	1468576	1469380	+	805	39	49	75	38	55	87
Interval_461	IV	1476341	1477273	+	933	4	14	37	4	15	38
Interval_462	IV	1480189	1480521	+	333	2	3	12	2	3	11
Interval_463	IV	1489671	1491206	+	1536	64	67	89	71	75	103
Interval_464	IV	1493217	1493444	+	228	16	7	14	16	9	16
Interval_465	IV	1494032	1494247	+	216	7	7	19	9	8	23
Interval_466	IV	1496501	1497131	+	631	4	13	25	4	14	30
Interval_467	IV	1502431	1502708	+	278	9	5	11	10	6	13
Interval_468	IV	1506852	1507856	+	1005	11	17	126	12	20	136
Interval_469	IV	1517923	1518227	+	305	6	2	15	6	3	15
Interval_470	IV	1524712	1525616	+	905	55	60	52	63	77	57
Interval_471	IX	11	211	+	201	7	3	5	15	7	5
Interval_472	IX	21708	22210	+	503	10	10	8	10	13	10
Interval_473	IX	36374	37177	+	804	3	20	32	4	21	34
Interval_474	IX	53471	55103	+	1633	2	14	59	2	15	57
Interval_475	IX	68226	69527	+	1302	21	43	60	23	44	66
Interval_476	IX	73509	73694	+	186	0	4	1	0	4	1
Interval_477	IX	77309	77965	+	657	5	3	22	5	5	29
Interval_478	IX	83120	83417	+	298	4	1	11	4	1	14
Interval_479	IX	84752	85247	+	496	5	5	19	5	5	18
Interval_480	IX	93310	93649	+	340	3	2	11	4	2	14
Interval_481	IX	96289	96718	+	430	3	12	13	5	12	16
Interval_482	IX	99466	99935	+	470	29	30	64	30	34	70
Interval_483	IX	102302	102644	+	343	5	12	17	6	15	19
Interval_484	IX	106065	106321	+	257	2	0	0	4	1	1
Interval_485	IX	117622	117986	+	365	6	5	15	9	6	16
Interval_486	IX	122224	122443	+	220	2	2	10	2	2	14
Interval_487	IX	127782	127954	+	173	4	4	11	4	7	12
Interval_488	IX	129879	130247	+	369	5	4	25	5	5	29
Interval_489	IX	131846	132310	+	465	8	10	25	8	10	29
Interval_490	IX	138226	139578	+	1353	46	50	122	49	53	127
Interval_491	IX	150115	150624	+	510	1	4	27	1	5	28
Interval_492	IX	160037	160764	+	728	2	9	24	2	11	26
Interval_493	IX	165973	166489	+	517	20	8	17	20	8	19
Interval_494	IX	169659	170178	+	520	5	5	36	5	5	46
Interval_495	IX	174931	175582	+	652	9	12	22	10	16	26
Interval_496	IX	177264	178138	+	875	17	16	68	17	18	72
Interval_497	IX	193185	193491	+	307	3	4	11	3	4	15
Interval_498	IX	197516	197888	+	373	7	11	22	7	14	30
Interval_499	IX	207400	207700	+	301	0	2	11	0	4	14
Interval_500	IX	210582	210873	+	292	7	9	13	8	9	17
Interval_501	IX	214967	216622	+	1656	18	11	26	19	11	25
Interval_502	IX	220755	220955	+	201	1	4	10	3	4	10
Interval_503	IX	222562	222899	+	338	5	11	17	6	13	20
Interval_504	IX	232375	232934	+	560	34	25	54	36	28	61
Interval_505	IX	240778	241012	+	235	1	2	10	1	2	12
Interval_506	IX	241741	242293	+	553	1	7	12	0	8	15
Interval_507	IX	248693	249714	+	1022	44	68	101	49	75	109
Interval_508	IX	254141	255467	+	1327	54	63	118	59	68	131
Interval_509	IX	257188	257639	+	452	22	25	35	23	30	44
Interval_510	IX	258385	258739	+	355	9	21	28	11	21	32
Interval_511	IX	267800	268986	+	1187	22	33	62	23	32	64
Interval_512	IX	270747	270981	+	235	0	1	16	2	2	18
Interval_513	IX	273793	274137	+	345	4	4	15	5	4	15
Interval_514	IX	276223	276423	+	201	1	1	9	1	1	11
Interval_515	IX	291848	292404	+	557	3	7	15	4	7	15
Interval_516	IX	300040	300240	+	201	2	7	2	4	7	5
Interval_517	IX	308872	309670	+	799	3	3	14	3	5	19
Interval_518	IX	310899	311159	+	261	3	9	11	4	10	13
Interval_519	IX	314761	315030	+	270	6	5	19	7	5	22
Interval_520	IX	316315	316688	+	374	15	20	37	17	22	40
Interval_521	IX	321229	322446	+	1218	8	14	23	10	14	27
Interval_522	IX	325488	326042	+	555	5	14	17	5	14	18
Interval_523	IX	332626	333605	+	980	29	31	99	35	36	110
Interval_524	IX	336068	336489	+	422	6	15	17	9	18	18
Interval_525	IX	338271	339195	+	925	28	14	14	29	16	15
Interval_526	IX	343788	344201	+	414	1	3	9	1	5	15
Interval_527	IX	348597	349234	+	638	1	6	19	1	6	20
Interval_528	IX	360205	360742	+	538	5	11	13	6	13	14
Interval_529	IX	370073	370441	+	369	1	6	1	0	7	1
Interval_530	IX	378226	378579	+	354	4	7	8	4	8	11
Interval_531	IX	381783	382674	+	892	21	19	51	22	21	62
Interval_532	IX	384059	384718	+	660	18	17	33	22	19	39
Interval_533	IX	386434	386980	+	547	18	28	53	19	29	59
Interval_534	IX	388329	389197	+	869	22	12	33	23	12	40
Interval_535	IX	394858	395184	+	327	7	2	7	9	3	7
Interval_536	IX	407996	408196	+	201	3	2	9	3	1	11
Interval_537	IX	415696	416135	+	440	6	18	24	6	19	26
Interval_538	IX	421616	422013	+	398	3	5	4	4	8	5
Interval_539	IX	425131	425311	+	181	1	2	2	1	4	2
Interval_540	IX	427278	427686	+	409	12	3	10	14	5	12
Interval_541	IX	439128	439888	+	761	74	60	70	83	78	75
Interval_542	V	210	482	+	273	1	0	0	1	3	1
Interval_543	V	6122	6855	+	734	19	30	29	21	39	31
Interval_544	V	9754	9954	+	201	5	7	7	8	9	10
Interval_545	V	12942	13593	+	652	4	9	26	4	9	29
Interval_546	V	15737	16454	+	718	8	8	25	11	8	24
Interval_547	V	18851	19210	+	360	3	7	18	3	8	19
Interval_548	V	23568	23768	+	201	1	1	8	1	1	9
Interval_549	V	26331	27567	+	1237	11	13	38	12	14	43
Interval_550	V	33602	34492	+	891	3	11	27	3	11	29
Interval_551	V	42010	42775	+	766	20	19	55	22	19	64
Interval_552	V	45943	46173	+	231	2	3	12	3	3	15
Interval_553	V	53171	53977	+	807	35	33	55	40	36	60
Interval_554	V	61068	61493	+	426	6	0	3	7	0	3
Interval_555	V	68732	70314	+	1583	67	76	112	84	80	119
Interval_556	V	77469	77799	+	331	7	7	11	9	9	10
Interval_557	V	79092	79370	+	279	5	1	2	6	1	1
Interval_558	V	79982	80463	+	482	4	6	33	5	6	38
Interval_559	V	82732	82932	+	201	2	2	15	1	2	21
Interval_560	V	84815	85685	+	871	49	63	90	56	77	104
Interval_561	V	86535	86732	+	198	4	7	6	5	12	9
Interval_562	V	99357	100502	+	1146	13	20	23	15	21	27
Interval_563	V	106809	107294	+	486	4	13	23	4	14	27
Interval_564	V	117477	118241	+	765	28	35	100	33	38	111
Interval_565	V	123064	123601	+	538	23	30	64	24	35	75
Interval_566	V	131033	131606	+	574	6	7	20	8	10	22
Interval_567	V	132653	132979	+	327	1	1	22	1	1	24
Interval_568	V	135286	135578	+	293	2	4	19	3	5	21
Interval_569	V	140461	141728	+	1268	77	73	105	86	75	113
Interval_570	V	147864	148036	+	173	2	3	3	2	4	4
Interval_571	V	149950	150195	+	246	0	1	8	1	2	12
Interval_572	V	152424	153452	+	1029	23	19	34	26	20	42
Interval_573	V	156378	156570	+	193	4	3	5	3	3	6
Interval_574	V	159248	159650	+	403	4	4	17	4	5	18
Interval_575	V	162517	162791	+	275	3	3	9	3	3	13
Interval_576	V	174339	175097	+	759	7	16	46	8	17	54
Interval_577	V	177027	177745	+	719	10	7	28	11	7	34
Interval_578	V	191861	192479	+	619	22	31	70	24	33	85
Interval_579	V	194730	195104	+	375	6	12	21	7	12	27
Interval_580	V	202694	202979	+	286	3	2	9	4	2	12
Interval_581	V	208555	208848	+	294	4	5	17	6	6	23
Interval_582	V	211723	212846	+	1124	12	16	47	12	15	48
Interval_583	V	221447	222630	+	1184	24	37	90	24	39	101
Interval_584	V	225292	225727	+	436	7	12	26	8	15	24
Interval_585	V	234580	234799	+	220	3	1	12	4	1	12
Interval_586	V	238260	238898	+	639	1	5	17	1	6	20
Interval_587	V	241942	243057	+	1116	27	30	51	27	32	54
Interval_588	V	248155	248399	+	245	4	3	12	4	3	16
Interval_589	V	259955	260374	+	420	5	11	21	5	10	22
Interval_590	V	261205	261862	+	658	6	8	47	7	8	56
Interval_591	V	264244	264619	+	376	2	0	28	2	1	34
Interval_592	V	266134	266334	+	201	7	10	5	8	11	9
Interval_593	V	268378	268963	+	586	20	25	45	22	25	46
Interval_594	V	270211	270589	+	379	21	14	27	21	15	26
Interval_595	V	279086	279592	+	507	0	3	25	0	3	32
Interval_596	V	280800	281546	+	747	19	35	87	18	38	99
Interval_597	V	284431	285069	+	639	28	44	78	28	45	82
Interval_598	V	291376	291851	+	476	2	2	20	2	2	22
Interval_599	V	292673	292987	+	315	5	9	19	6	10	21
Interval_600	V	294997	295734	+	738	8	12	32	8	14	37
Interval_601	V	298225	298632	+	408	6	6	16	6	7	17
Interval_602	V	303280	303871	+	592	30	17	57	32	16	62
Interval_603	V	305414	306313	+	900	6	22	44	7	24	46
Interval_604	V	311097	312209	+	1113	22	27	76	22	25	85
Interval_605	V	318482	318797	+	316	3	1	17	5	1	18
Interval_606	V	321892	322190	+	299	4	6	12	5	7	14
Interval_607	V	322987	323298	+	312	2	8	6	2	9	7
Interval_608	V	328300	328698	+	399	0	2	9	0	2	12
Interval_609	V	335210	336131	+	922	31	28	107	32	34	115
Interval_610	V	342434	343523	+	1090	25	27	73	26	27	79
Interval_611	V	349119	350027	+	909	13	14	58	14	16	64
Interval_612	V	354658	355915	+	1258	26	23	74	35	28	80
Interval_613	V	361909	362730	+	822	18	16	38	22	16	40
Interval_614	V	377823	378511	+	689	6	9	28	6	9	28
Interval_615	V	386284	387237	+	954	14	4	27	14	4	26
Interval_616	V	396256	396737	+	482	27	27	54	33	32	59
Interval_617	V	400723	401161	+	439	6	12	22	6	13	24
Interval_618	V	402207	402409	+	203	0	0	8	2	0	8
Interval_619	V	408803	409612	+	810	12	10	11	13	9	11
Interval_620	V	414146	414418	+	273	2	8	8	3	9	10
Interval_621	V	422059	423508	+	1450	31	29	58	34	28	65
Interval_622	V	430909	431410	+	502	14	13	23	15	17	28
Interval_623	V	434391	434685	+	295	6	13	16	6	15	17
Interval_624	V	435500	436222	+	723	12	25	21	15	28	24
Interval_625	V	438990	439465	+	476	10	24	26	13	27	29
Interval_626	V	441795	443118	+	1324	58	68	96	61	77	112
Interval_627	V	461559	463307	+	1749	32	41	91	36	41	97
Interval_628	V	467585	468225	+	641	11	14	57	13	16	58
Interval_629	V	474031	475879	+	1849	12	30	60	14	30	62
Interval_630	V	482907	483865	+	959	10	19	19	11	21	19
Interval_631	V	484503	484712	+	210	1	3	10	1	5	12
Interval_632	V	490848	491494	+	647	32	34	49	39	37	55
Interval_633	V	492230	492493	+	264	2	10	12	3	10	18
Interval_634	V	502961	503978	+	1018	4	12	20	4	12	19
Interval_635	V	517538	517862	+	325	5	5	17	6	6	16
Interval_636	V	522715	523123	+	409	7	9	22	7	8	24
Interval_637	V	536135	536335	+	201	0	0	7	0	0	10
Interval_638	V	544480	545577	+	1098	18	26	59	16	24	53
Interval_639	V	546596	547377	+	782	7	8	36	6	11	36
Interval_640	V	551072	551438	+	367	1	10	13	1	10	13
Interval_641	V	552390	552674	+	285	2	1	8	3	1	9
Interval_642	V	558629	559376	+	748	10	8	28	11	8	29
Interval_643	V	560508	560770	+	263	3	1	7	3	0	10
Interval_644	V	567605	567865	+	261	3	5	19	5	6	21
Interval_645	V	569285	570628	+	1344	46	63	100	67	79	118
Interval_646	VI	4481	5379	+	899	66	61	63	82	74	69
Interval_647	VI	16592	16853	+	262	4	4	8	7	4	8
Interval_648	VI	22852	23177	+	326	4	2	12	4	3	13
Interval_649	VI	27755	28203	+	449	1	10	14	1	10	20
Interval_650	VI	31082	31282	+	201	7	4	4	8	5	6
Interval_651	VI	31852	32289	+	438	3	6	14	3	6	15
Interval_652	VI	49386	49609	+	224	2	1	4	5	1	5
Interval_653	VI	54913	56409	+	1497	23	26	46	24	28	50
Interval_654	VI	58256	58549	+	294	2	4	12	3	5	15
Interval_655	VI	74702	75103	+	402	7	14	32	7	15	33
Interval_656	VI	76563	77610	+	1048	5	17	21	7	19	23
Interval_657	VI	81941	82504	+	564	12	18	33	14	19	36
Interval_658	VI	90272	91005	+	734	18	28	47	21	33	50
Interval_659	VI	95147	96018	+	872	30	50	68	34	52	69
Interval_660	VI	101125	101513	+	389	2	15	14	2	17	13
Interval_661	VI	106298	107723	+	1426	20	26	142	22	28	158
Interval_662	VI	109938	110138	+	201	2	8	8	2	7	10
Interval_663	VI	115857	116057	+	201	2	2	7	3	2	10
Interval_664	VI	129837	130273	+	437	3	6	14	3	6	16
Interval_665	VI	153166	153424	+	259	0	3	11	0	4	11
Interval_666	VI	155921	156210	+	290	2	1	18	2	1	18
Interval_667	VI	157839	158078	+	240	5	8	7	6	9	10
Interval_668	VI	162211	162574	+	364	9	5	5	9	5	7
Interval_669	VI	176558	177141	+	584	4	8	45	3	8	57
Interval_670	VI	182605	184390	+	1786	47	52	111	53	58	120
Interval_671	VI	191180	192219	+	1040	7	11	20	7	14	21
Interval_672	VI	204689	205219	+	531	7	14	16	8	14	21
Interval_673	VI	206235	207674	+	1440	4	2	25	4	3	25
Interval_674	VI	210204	211329	+	1126	8	13	19	7	15	23
Interval_675	VI	212966	213250	+	285	6	5	13	6	5	14
Interval_676	VI	221521	221958	+	438	27	33	52	40	41	57
Interval_677	VI	223880	224128	+	249	15	7	32	16	7	34
Interval_678	VI	224807	226858	+	2052	105	124	161	115	140	183
Interval_679	VI	233719	233936	+	218	6	5	14	5	5	14
Interval_680	VI	247661	248465	+	805	2	1	17	2	1	20
Interval_681	VI	249205	249999	+	795	4	5	18	5	7	20
Interval_682	VI	251873	252329	+	457	4	11	11	5	12	15
Interval_683	VI	255308	256489	+	1182	5	22	80	6	23	96
Interval_684	VI	263131	263899	+	769	14	11	21	15	12	23
Interval_685	VI	269900	270161	+	262	13	10	5	8	10	9
Interval_686	VII	0	672	+	673	35	30	36	43	50	49
Interval_687	VII	10091	10531	+	441	8	6	15	8	6	19
Interval_688	VII	20432	20668	+	237	4	2	14	5	3	13
Interval_689	VII	23131	23792	+	662	19	29	62	23	30	71
Interval_690	VII	31534	31794	+	261	0	1	12	0	1	17
Interval_691	VII	31836	32006	+	171	0	3	1	0	4	1
Interval_692	VII	35197	35404	+	208	1	2	3	1	2	6
Interval_693	VII	36644	36963	+	320	4	3	10	4	3	12
Interval_694	VII	45283	45490	+	208	1	1	10	1	1	9
Interval_695	VII	55536	56506	+	971	9	16	27	12	15	25
Interval_696	VII	66778	67681	+	904	9	19	40	11	19	41
Interval_697	VII	73310	74769	+	1460	20	40	25	20	42	26
Interval_698	VII	76422	76828	+	407	3	6	25	5	8	28
Interval_699	VII	81208	81467	+	260	6	4	15	5	4	16
Interval_700	VII	84354	84659	+	306	1	4	16	1	4	18
Interval_701	VII	94794	95711	+	918	9	11	56	10	10	58
Interval_702	VII	110206	110973	+	768	12	15	24	14	18	25
Interval_703	VII	115023	115866	+	844	11	14	20	12	16	24
Interval_704	VII	121882	122592	+	711	12	21	29	14	23	33
Interval_705	VII	123417	124573	+	1157	5	10	36	7	10	40
Interval_706	VII	141767	142058	+	292	0	4	15	0	5	18
Interval_707	VII	144123	144728	+	606	5	11	30	8	12	29
Interval_708	VII	147812	148039	+	228	2	3	9	1	3	9
Interval_709	VII	148991	149424	+	434	17	26	41	18	28	45
Interval_710	VII	152863	153063	+	201	9	6	10	11	7	12
Interval_711	VII	156264	156524	+	261	6	4	16	8	4	18
Interval_712	VII	157507	157804	+	298	4	7	8	4	7	11
Interval_713	VII	159132	159585	+	454	5	6	20	6	7	22
Interval_714	VII	165016	166722	+	1707	26	29	94	24	30	104
Interval_715	VII	185724	185953	+	230	2	0	10	2	0	11
Interval_716	VII	190267	191916	+	1650	9	13	65	11	13	69
Interval_717	VII	197003	198023	+	1021	16	33	68	18	33	73
Interval_718	VII	200091	200513	+	423	4	1	18	5	2	20
Interval_719	VII	205320	206802	+	1483	14	31	57	15	34	58
Interval_720	VII	225822	226289	+	468	7	5	13	6	5	16
Interval_721	VII	228361	228741	+	381	9	14	16	9	15	17
Interval_722	VII	229804	230144	+	341	2	12	20	3	14	23
Interval_723	VII	254109	254620	+	512	5	13	8	6	14	9
Interval_724	VII	271061	272284	+	1224	64	78	189	71	90	212
Interval_725	VII	276843	277551	+	709	17	16	39	19	18	43
Interval_726	VII	280651	281397	+	747	6	4	16	7	4	18
Interval_727	VII	283878	284509	+	632	1	5	16	1	7	17
Interval_728	VII	287198	287529	+	332	7	7	16	8	8	23
Interval_729	VII	289423	289623	+	201	2	7	1	2	6	2
Interval_730	VII	306292	306550	+	259	3	7	14	4	8	15
Interval_731	VII	307223	307424	+	202	8	0	6	8	0	10
Interval_732	VII	310616	310940	+	325	4	8	17	5	8	18
Interval_733	VII	311612	312396	+	785	7	4	8	10	5	8
Interval_734	VII	316562	317103	+	542	2	5	12	4	7	15
Interval_735	VII	319710	320011	+	302	5	8	23	7	9	28
Interval_736	VII	323530	325070	+	1541	15	18	58	16	18	59
Interval_737	VII	328513	328716	+	204	0	4	9	0	6	10
Interval_738	VII	345720	347112	+	1393	15	12	36	17	12	39
Interval_739	VII	347340	347670	+	331	0	3	0	1	4	1
Interval_740	VII	358460	358656	+	197	2	1	6	1	3	7
Interval_741	VII	366014	366407	+	394	15	7	14	14	7	16
Interval_742	VII	368314	368681	+	368	7	11	15	8	13	20
Interval_743	VII	370764	371642	+	879	28	21	46	30	26	49
Interval_744	VII	384481	385417	+	937	23	35	127	27	39	142
Interval_745	VII	393691	393972	+	282	1	4	12	3	4	15
Interval_746	VII	397867	398476	+	610	33	48	69	40	55	75
Interval_747	VII	404418	404714	+	297	3	2	5	4	3	12
Interval_748	VII	405410	405934	+	525	1	10	12	1	12	13
Interval_749	VII	412149	413680	+	1532	27	38	77	30	41	89
Interval_750	VII	420657	420857	+	201	1	6	9	4	7	13
Interval_751	VII	422296	423576	+	1281	12	22	31	14	30	41
Interval_752	VII	428047	428505	+	459	11	12	45	11	12	49
Interval_753	VII	433001	434016	+	1016	16	26	63	20	28	71
Interval_754	VII	438240	438902	+	663	17	23	43	20	20	47
Interval_755	VII	443372	443688	+	317	4	6	11	6	6	15
Interval_756	VII	452020	452274	+	255	1	3	16	2	3	17
Interval_757	VII	458051	458332	+	282	2	1	8	2	1	10
Interval_758	VII	465375	465584	+	210	0	0	6	1	0	7
Interval_759	VII	471964	472938	+	975	3	12	42	3	11	47
Interval_760	VII	482958	484329	+	1372	67	44	80	72	44	88
Interval_761	VII	508419	508857	+	439	3	3	19	3	4	23
Interval_762	VII	513064	513257	+	194	0	3	8	0	3	10
Interval_763	VII	515923	516716	+	794	10	18	41	10	18	46
Interval_764	VII	525501	525898	+	398	7	5	36	7	8	39
Interval_765	VII	528373	528987	+	615	10	17	49	10	17	50
Interval_766	VII	532625	532825	+	201	0	2	10	0	3	11
Interval_767	VII	534914	535452	+	539	9	5	7	11	5	10
Interval_768	VII	541599	542072	+	474	5	2	12	7	2	14
Interval_769	VII	544548	544966	+	419	6	4	9	9	7	10
Interval_770	VII	547085	547767	+	683	12	23	64	15	26	72
Interval_771	VII	555148	555730	+	583	15	15	20	18	18	20
Interval_772	VII	557647	557938	+	292	6	8	27	5	10	30
Interval_773	VII	560007	560471	+	465	4	11	27	5	12	30
Interval_774	VII	561633	561909	+	277	3	6	2	6	7	4
Interval_775	VII	576463	577004	+	542	12	18	30	11	18	30
Interval_776	VII	581561	581985	+	425	3	6	34	4	6	35
Interval_777	VII	583868	584678	+	811	8	11	31	7	12	35
Interval_778	VII	591633	593298	+	1666	29	51	190	30	53	206
Interval_779	VII	598831	599324	+	494	9	15	58	9	16	68
Interval_780	VII	609230	610524	+	1295	33	44	106	31	48	116
Interval_781	VII	617668	618364	+	697	4	10	14	5	11	15
Interval_782	VII	625147	625642	+	496	7	21	60	8	27	72
Interval_783	VII	640487	640800	+	314	7	8	6	7	11	7
Interval_784	VII	643701	644024	+	324	2	5	14	2	5	17
Interval_785	VII	649017	649217	+	201	5	4	7	5	4	9
Interval_786	VII	650656	651507	+	852	14	31	64	14	32	72
Interval_787	VII	653952	654614	+	663	7	12	71	10	12	79
Interval_788	VII	661677	662088	+	412	11	13	24	13	13	29
Interval_789	VII	667826	668026	+	201	5	4	6	6	5	9
Interval_790	VII	671927	672136	+	210	4	3	12	4	3	13
Interval_791	VII	677385	678563	+	1179	8	16	57	8	16	59
Interval_792	VII	699901	701036	+	1136	8	18	34	9	20	37
Interval_793	VII	702691	703225	+	535	13	15	39	13	15	41
Interval_794	VII	706828	707204	+	377	9	4	17	10	6	18
Interval_795	VII	708986	709411	+	426	1	3	8	2	4	15
Interval_796	VII	726482	726967	+	486	21	24	42	22	26	46
Interval_797	VII	732731	733819	+	1089	17	18	65	18	18	65
Interval_798	VII	739030	739802	+	773	13	36	52	15	40	58
Interval_799	VII	753835	754421	+	587	4	8	37	5	8	38
Interval_800	VII	756438	757660	+	1223	6	12	44	6	12	46
Interval_801	VII	766111	766625	+	515	12	19	44	14	20	50
Interval_802	VII	771958	772236	+	279	7	9	27	10	7	32
Interval_803	VII	774250	774810	+	561	16	23	54	19	28	60
Interval_804	VII	779636	780761	+	1126	8	6	28	7	7	30
Interval_805	VII	785353	786046	+	694	20	32	73	20	33	78
Interval_806	VII	788205	788813	+	609	17	24	38	20	31	50
Interval_807	VII	793009	793209	+	201	4	2	8	5	1	10
Interval_808	VII	794251	794453	+	203	2	7	7	2	7	8
Interval_809	VII	795796	796753	+	958	2	2	14	2	2	14
Interval_810	VII	798141	798527	+	387	9	6	17	9	10	23
Interval_811	VII	800190	800415	+	226	3	4	12	3	4	12
Interval_812	VII	801606	801993	+	388	3	4	9	4	5	8
Interval_813	VII	809514	811235	+	1722	22	34	107	24	39	120
Interval_814	VII	823454	823893	+	440	10	10	18	10	8	18
Interval_815	VII	828241	828943	+	703	5	3	18	5	3	20
Interval_816	VII	836814	837014	+	201	2	2	10	2	2	10
Interval_817	VII	837031	837249	+	219	0	4	2	0	5	2
Interval_818	VII	840485	841140	+	656	1	0	11	1	1	14
Interval_819	VII	847917	849527	+	1611	12	13	38	13	14	40
Interval_820	VII	850605	851168	+	564	2	12	10	4	11	14
Interval_821	VII	856477	857912	+	1436	29	52	95	37	54	110
Interval_822	VII	859457	859822	+	366	6	7	17	7	8	20
Interval_823	VII	871474	871733	+	260	2	4	14	2	4	14
Interval_824	VII	877056	877269	+	214	0	7	6	1	9	7
Interval_825	VII	878394	878709	+	316	5	8	24	5	8	26
Interval_826	VII	882482	884478	+	1997	69	56	86	80	64	98
Interval_827	VII	892150	892396	+	247	0	1	12	0	1	15
Interval_828	VII	894183	894945	+	763	5	8	28	7	9	33
Interval_829	VII	904914	905907	+	994	40	68	118	45	75	137
Interval_830	VII	913184	915314	+	2131	12	24	56	11	28	56
Interval_831	VII	919722	920591	+	870	33	30	56	37	31	57
Interval_832	VII	922015	922440	+	426	2	4	14	2	7	15
Interval_833	VII	930911	931241	+	331	4	3	8	5	3	11
Interval_834	VII	936822	937140	+	319	3	0	10	3	0	14
Interval_835	VII	939049	939884	+	836	6	11	22	8	12	25
Interval_836	VII	942327	942531	+	205	0	3	6	0	4	8
Interval_837	VII	951266	951904	+	639	7	6	29	7	5	32
Interval_838	VII	953605	953929	+	325	3	9	17	3	11	19
Interval_839	VII	958483	959746	+	1264	23	16	34	24	16	37
Interval_840	VII	962031	962258	+	228	0	1	11	0	1	13
Interval_841	VII	969167	969705	+	539	4	5	16	5	5	18
Interval_842	VII	974222	974877	+	656	17	12	42	16	14	54
Interval_843	VII	976790	977252	+	463	12	16	49	12	17	53
Interval_844	VII	986819	987919	+	1101	35	42	102	38	42	113
Interval_845	VII	993800	994263	+	464	5	4	24	6	4	26
