PeakID (cmd=annotatePeaks.pl OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peaks.broadPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_615	XV	316325	316597	+	46	NA	promoter-TSS (YOL004W)	protein_coding-promoter-TSS (YOL004W)	-286	YOL005C	YOL005C	YOL005C			RPB11			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_456	XII	369726	371081	+	46	NA	promoter-TSS (YLR110C)	protein_coding-promoter-TSS (YLR110C)	12	YLR111W	YLR111W	YLR111W			YLR111W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_210	V	335356	336061	+	46	NA	promoter-TSS (YER088C)	protein_coding-promoter-TSS (YER088C)	-219	YER088W-B	YER088W-B	YER088W-B			YER088W-B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_13	II	5704	6320	+	46	NA	exon (YBL109W, exon 1 of 1)	protein_coding-exon (YBL109W, exon 1 of 1)	222	YBL109W	YBL109W	YBL109W			YBL109W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_521	XIII	306271	306912	+	46	NA	promoter-TSS (YMR016C)	protein_coding-promoter-TSS (YMR016C)	-898	YMR017W	YMR017W	YMR017W			SPO20			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_96	IV	357148	357778	+	46	NA	promoter-TSS (YDL055C)	protein_coding-promoter-TSS (YDL055C)	-704	YDL055C	YDL055C	YDL055C			PSA1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_654	XV	978413	979488	+	46	NA	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-881	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_530	XIII	472729	473324	+	46	NA	promoter-TSS (YMR102C)	protein_coding-promoter-TSS (YMR102C)	238	YMR103C	YMR103C	YMR103C			YMR103C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_547	XIII	914907	915649	+	46	NA	promoter-TSS (YMR319C)	protein_coding-promoter-TSS (YMR319C)	-740	YMR319C	YMR319C	YMR319C			FET4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_681	XVI	425205	426117	+	46	NA	promoter-TSS (YPL066W)	protein_coding-promoter-TSS (YPL066W)	186	YPL067C	YPL067C	YPL067C			YPL067C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_249	VI	269921	270161	+	45	NA	TTS (YFR057W)	protein_coding-TTS (YFR057W)	980	YFR057W	YFR057W	YFR057W			YFR057W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_170	IX	257191	257474	+	45	NA	promoter-TSS (YIL052C)	protein_coding-promoter-TSS (YIL052C)	-269	YIL052C	YIL052C	YIL052C			RPL34B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_717	XVI	942450	942838	+	45	NA	promoter-TSS (YPR202W)	protein_coding-promoter-TSS (YPR202W)	-388	YPR202W	YPR202W	YPR202W			YPR202W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_504	XIII	69824	70366	+	45	NA	promoter-TSS (YML100W)	protein_coding-promoter-TSS (YML100W)	-7	YML101C	YML101C	YML101C			CUE4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_624	XV	505177	505643	+	45	NA	promoter-TSS (YOR096W)	protein_coding-promoter-TSS (YOR096W)	-384	YOR096W	YOR096W	YOR096W			RPS7A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_14	II	36411	36789	+	45	NA	promoter-TSS (YBL099W)	protein_coding-promoter-TSS (YBL099W)	202	tF(GAA)B	tF(GAA)B	tF(GAA)B			tF(GAA)B			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_46	II	555428	556152	+	44	NA	promoter-TSS (YBR158W)	protein_coding-promoter-TSS (YBR158W)	-759	YBR158W	YBR158W	YBR158W			AMN1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_109	IV	550900	551381	+	44	NA	promoter-TSS (YDR046C)	protein_coding-promoter-TSS (YDR046C)	-564	YDR046C	YDR046C	YDR046C			BAP3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_425	XI	355307	356215	+	44	NA	promoter-TSS (YKL043W)	protein_coding-promoter-TSS (YKL043W)	-561	YKL044W	YKL044W	YKL044W			YKL044W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_38	II	415313	415699	+	44	NA	promoter-TSS (YBR084C-A)	protein_coding-promoter-TSS (YBR084C-A)	-245	YBR084C-A	YBR084C-A	YBR084C-A			RPL19A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_675	XVI	297075	297328	+	44	NA	promoter-TSS (YPL135W)	protein_coding-promoter-TSS (YPL135W)	-352	YPL135W	YPL135W	YPL135W			ISU1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_142	IV	1401275	1401746	+	44	NA	promoter-TSS (YDR470C)	protein_coding-promoter-TSS (YDR470C)	-260	YDR471W	YDR471W	YDR471W			RPL27B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_690	XVI	520356	520573	+	44	NA	promoter-TSS (YPL016W)	protein_coding-promoter-TSS (YPL016W)	-231	YPL017C	YPL017C	YPL017C			IRC15			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_239	VI	106303	106757	+	43	NA	promoter-TSS (YFL014W)	protein_coding-promoter-TSS (YFL014W)	115	YFL015W-A	YFL015W-A	YFL015W-A			YFL015W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_84	IV	1	411	+	43	NA	Intergenic	Intergenic	-1596	YDL248W	YDL248W	YDL248W			COS7			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_627	XV	520544	520892	+	43	NA	promoter-TSS (YOR107W)	protein_coding-promoter-TSS (YOR107W)	-635	YOR107W	YOR107W	YOR107W			RGS2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_76	III	178210	178690	+	43	NA	promoter-TSS (YCR031C)	protein_coding-promoter-TSS (YCR031C)	-230	YCR031C	YCR031C	YCR031C			RPS14A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_168	IX	248694	249533	+	43	NA	promoter-TSS (YIL056W)	protein_coding-promoter-TSS (YIL056W)	263	tS(UGA)I	tS(UGA)I	tS(UGA)I			SUP17			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_20	II	135724	136330	+	43	NA	promoter-TSS (YBL043W)	protein_coding-promoter-TSS (YBL043W)	29	YBL044W	YBL044W	YBL044W			YBL044W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_642	XV	825569	826030	+	43	NA	promoter-TSS (YOR267C)	protein_coding-promoter-TSS (YOR267C)	133	YOR268C	YOR268C	YOR268C			YOR268C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_568	XIV	405667	405992	+	43	NA	promoter-TSS (YNL117W)	protein_coding-promoter-TSS (YNL117W)	-265	YNL118C	YNL118C	YNL118C			DCP2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_467	XII	490554	490955	+	43	NA	TTS (YLR162W)	protein_coding-TTS (YLR162W)	348	YLR162W-A	YLR162W-A	YLR162W-A			RRT15			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_23	II	165063	165469	+	43	NA	promoter-TSS (YBL029C-A)	protein_coding-promoter-TSS (YBL029C-A)	-494	YBL029C-A	YBL029C-A	YBL029C-A			YBL029C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_24	II	168006	168333	+	43	NA	promoter-TSS (YBL027W)	protein_coding-promoter-TSS (YBL027W)	-254	YBL027W	YBL027W	YBL027W			RPL19B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_698	XVI	678828	679308	+	43	NA	promoter-TSS (YPR063C)	protein_coding-promoter-TSS (YPR063C)	117	YPR064W	YPR064W	YPR064W			YPR064W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_131	IV	1164876	1165416	+	42	NA	promoter-TSS (YDR345C)	protein_coding-promoter-TSS (YDR345C)	-486	YDR345C	YDR345C	YDR345C			HXT3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_309	VII	856623	857107	+	42	NA	promoter-TSS (YGR180C)	protein_coding-promoter-TSS (YGR180C)	-564	YGR180C	YGR180C	YGR180C			RNR4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_301	VII	766217	766510	+	42	NA	promoter-TSS (YGR138C)	protein_coding-promoter-TSS (YGR138C)	637	YGR139W	YGR139W	YGR139W			YGR139W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_277	VII	428163	428444	+	42	NA	promoter-TSS (YGL036W)	protein_coding-promoter-TSS (YGL036W)	-298	YGL036W	YGL036W	YGL036W			YGL036W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_87	IV	215769	216109	+	42	NA	promoter-TSS (YDL137W)	protein_coding-promoter-TSS (YDL137W)	-590	YDL137W	YDL137W	YDL137W			ARF2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_118	IV	769141	769584	+	42	NA	promoter-TSS (YDR154C)	protein_coding-promoter-TSS (YDR154C)	-163	YDR156W	YDR156W	YDR156W			RPA14			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_429	XI	431285	431756	+	42	NA	promoter-TSS (YKL006C-A)	protein_coding-promoter-TSS (YKL006C-A)	-382	snR87	snR87	snR87			snR87			snoRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_357	X	75481	75775	+	41	NA	promoter-TSS (YJL189W)	protein_coding-promoter-TSS (YJL189W)	-305	YJL189W	YJL189W	YJL189W			RPL39			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_372	X	294385	295071	+	41	NA	promoter-TSS (YJL076W)	protein_coding-promoter-TSS (YJL076W)	-71	YJL077W-A	YJL077W-A	YJL077W-A			YJL077W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_545	XIII	880553	880989	+	41	NA	promoter-TSS (YMR305C)	protein_coding-promoter-TSS (YMR305C)	-388	YMR306W	YMR306W	YMR306W			FKS3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_589	XIV	708171	708410	+	41	NA	promoter-TSS (YNR047W)	protein_coding-promoter-TSS (YNR047W)	-233	YNR047W	YNR047W	YNR047W			FPK1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_338	VIII	190211	190455	+	40	NA	promoter-TSS (YHR041C)	protein_coding-promoter-TSS (YHR041C)	-210	YHR042W	YHR042W	YHR042W			NCP1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_564	XIV	330908	331256	+	40	NA	promoter-TSS (YNL162W)	protein_coding-promoter-TSS (YNL162W)	-240	YNL162W	YNL162W	YNL162W			RPL42A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_143	IV	1429144	1429479	+	40	NA	promoter-TSS (YDR487C)	protein_coding-promoter-TSS (YDR487C)	-331	YDR487C	YDR487C	YDR487C			RIB3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_710	XVI	822029	822543	+	40	NA	promoter-TSS (YPR144C)	protein_coding-promoter-TSS (YPR144C)	-334	YPR145W	YPR145W	YPR145W			ASN1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_183	V	6123	6855	+	40	NA	promoter-TSS (YEL075C)	protein_coding-promoter-TSS (YEL075C)	363	YEL074W	YEL074W	YEL074W			YEL074W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_411	XI	203089	203302	+	40	NA	promoter-TSS (YKL127W)	protein_coding-promoter-TSS (YKL127W)	196	tK(CUU)K	tK(CUU)K	tK(CUU)K			tK(CUU)K			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_701	XVI	700052	700436	+	40	NA	promoter-TSS (YPR080W)	protein_coding-promoter-TSS (YPR080W)	-350	YPR080W	YPR080W	YPR080W			TEF1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_655	XV	987454	988555	+	39	NA	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	778	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_661	XVI	40303	40782	+	39	NA	promoter-TSS (YPL265W)	protein_coding-promoter-TSS (YPL265W)	-501	YPL265W	YPL265W	YPL265W			DIP5			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_376	X	360668	360985	+	39	NA	promoter-TSS (YJL042W)	protein_coding-promoter-TSS (YJL042W)	-423	YJL042W	YJL042W	YJL042W			MHP1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_416	XI	248292	248500	+	39	NA	promoter-TSS (YKL101W)	protein_coding-promoter-TSS (YKL101W)	-29	YKL102C	YKL102C	YKL102C			YKL102C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_705	XVI	770716	771046	+	39	NA	promoter-TSS (YPR119W)	protein_coding-promoter-TSS (YPR119W)	-772	YPR119W	YPR119W	YPR119W			CLB2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_578	XIV	576120	576588	+	39	NA	promoter-TSS (YNL030W)	protein_coding-promoter-TSS (YNL030W)	-304	YNL031C	YNL031C	YNL031C			HHT2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_258	VII	115522	115866	+	39	NA	promoter-TSS (YGL202W)	protein_coding-promoter-TSS (YGL202W)	206	tK(UUU)G1	tK(UUU)G1	tK(UUU)G1			tK(UUU)G1			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_526	XIII	387973	388715	+	39	NA	promoter-TSS (YMR056C)	protein_coding-promoter-TSS (YMR056C)	-100	YMR056C	YMR056C	YMR056C			AAC1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_39	II	426843	427053	+	39	NA	promoter-TSS (YBR089C-A)	protein_coding-promoter-TSS (YBR089C-A)	110	YBR090C	YBR090C	YBR090C			YBR090C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_366	X	195336	195960	+	39	NA	promoter-TSS (YJL115W)	protein_coding-promoter-TSS (YJL115W)	-639	YJL115W	YJL115W	YJL115W			ASF1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_379	X	391524	392221	+	39	NA	promoter-TSS (YJL026W)	protein_coding-promoter-TSS (YJL026W)	377	YJL027C	YJL027C	YJL027C			YJL027C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_214	V	354839	355630	+	38	NA	promoter-TSS (YER097W)	protein_coding-promoter-TSS (YER097W)	94	YER097W	YER097W	YER097W			YER097W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_287	VII	576553	576834	+	38	NA	promoter-TSS (YGR041W)	protein_coding-promoter-TSS (YGR041W)	-794	YGR041W	YGR041W	YGR041W			BUD9			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_71	III	123351	124000	+	38	NA	promoter-TSS (YCR006C)	protein_coding-promoter-TSS (YCR006C)	-27	tP(AGG)C	tP(AGG)C	tP(AGG)C			SUF2			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_516	XIII	271549	272173	+	38	NA	promoter-TSS (YMR001C)	protein_coding-promoter-TSS (YMR001C)	-284	YMR001C-A	YMR001C-A	YMR001C-A			YMR001C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_35	II	392380	392738	+	38	NA	promoter-TSS (YBR076C-A)	protein_coding-promoter-TSS (YBR076C-A)	-266	YBR077C	YBR077C	YBR077C			SLM4			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_601	XV	117868	118072	+	38	NA	promoter-TSS (YOL103W-A)	protein_coding-promoter-TSS (YOL103W-A)	-30	YOL103W-B	YOL103W-B	YOL103W-B			YOL103W-B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_348	VIII	382747	383168	+	38	NA	promoter-TSS (YHR141C)	protein_coding-promoter-TSS (YHR141C)	-206	YHR141C	YHR141C	YHR141C			RPL42B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_272	VII	366067	366407	+	38	NA	promoter-TSS (YGL076C)	protein_coding-promoter-TSS (YGL076C)	232	snR39B	snR39B	snR39B			snR39B			snoRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_668	XVI	132217	132514	+	38	NA	promoter-TSS (YPL221W)	protein_coding-promoter-TSS (YPL221W)	-250	YPL222C-A	YPL222C-A	YPL222C-A			YPL222C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_622	XV	487282	487619	+	38	NA	promoter-TSS (YOR086C)	protein_coding-promoter-TSS (YOR086C)	11	tN(GUU)O2	tN(GUU)O2	tN(GUU)O2			tN(GUU)O2			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_354	VIII	505516	506052	+	38	NA	promoter-TSS (YHR203C)	protein_coding-promoter-TSS (YHR203C)	-254	YHR203C	YHR203C	YHR203C			RPS4B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_260	VII	148992	149313	+	38	NA	promoter-TSS (YGL188C-A)	protein_coding-promoter-TSS (YGL188C-A)	-188	YGL188C-A	YGL188C-A	YGL188C-A			YGL188C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_82	III	295420	295719	+	37	NA	promoter-TSS (tT(AGU)C)	tRNA-promoter-TSS (tT(AGU)C)	85	tT(AGU)C	tT(AGU)C	tT(AGU)C			tT(AGU)C			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_523	XIII	352894	353464	+	37	NA	promoter-TSS (YMR043W)	protein_coding-promoter-TSS (YMR043W)	576	YMR042W	YMR042W	YMR042W			ARG80			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_10	I	189909	190672	+	37	NA	promoter-TSS (YAR035W)	protein_coding-promoter-TSS (YAR035W)	97	YAR035W	YAR035W	YAR035W			YAT1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_531	XIII	510524	511132	+	37	NA	promoter-TSS (YMR121C)	protein_coding-promoter-TSS (YMR121C)	247	YMR122C	YMR122C	YMR122C			YMR122C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_60	II	760902	761163	+	37	NA	promoter-TSS (YBR276C)	protein_coding-promoter-TSS (YBR276C)	-225	YBR279W	YBR279W	YBR279W			PAF1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_137	IV	1301218	1301530	+	37	NA	promoter-TSS (YDR418W)	protein_coding-promoter-TSS (YDR418W)	-242	YDR418W	YDR418W	YDR418W			RPL12B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_279	VII	438590	438845	+	37	NA	promoter-TSS (YGL030W)	protein_coding-promoter-TSS (YGL030W)	-374	YGL030W	YGL030W	YGL030W			RPL30			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_581	XIV	604787	604999	+	37	NA	promoter-TSS (YNL015W)	protein_coding-promoter-TSS (YNL015W)	-491	YNL015W	YNL015W	YNL015W			PBI2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_575	XIV	559200	559680	+	37	NA	promoter-TSS (YNL036W)	protein_coding-promoter-TSS (YNL036W)	-374	YNL036W	YNL036W	YNL036W			NCE103			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_186	V	42042	42315	+	37	NA	promoter-TSS (YEL059W)	protein_coding-promoter-TSS (YEL059W)	-225	YEL060C	YEL060C	YEL060C			PRB1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_507	XIII	119195	119500	+	37	NA	promoter-TSS (YML075C)	protein_coding-promoter-TSS (YML075C)	-449	YML075C	YML075C	YML075C			HMG1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_15	II	45123	45596	+	37	NA	promoter-TSS (YBL092W)	protein_coding-promoter-TSS (YBL092W)	-441	YBL093C	YBL093C	YBL093C			ROX3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_598	XV	82906	83386	+	37	NA	promoter-TSS (YOL125W)	protein_coding-promoter-TSS (YOL125W)	-226	YOL126C	YOL126C	YOL126C			MDH2			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_328	VIII	4973	5491	+	37	NA	promoter-TSS (YHL049C)	protein_coding-promoter-TSS (YHL049C)	565	YHL048C-A	YHL048C-A	YHL048C-A			YHL048C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_280	VII	483112	483888	+	37	NA	promoter-TSS (YGL007C-A)	protein_coding-promoter-TSS (YGL007C-A)	240	YGL007W	YGL007W	YGL007W			BRP1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_133	IV	1242244	1242940	+	37	NA	promoter-TSS (YDR384C)	protein_coding-promoter-TSS (YDR384C)	-561	YDR384C	YDR384C	YDR384C			ATO3			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_674	XVI	281639	282027	+	37	NA	promoter-TSS (YPL143W)	protein_coding-promoter-TSS (YPL143W)	-289	YPL143W	YPL143W	YPL143W			RPL33A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_329	VIII	17405	17689	+	36	NA	exon (YHL041W, exon 1 of 1)	protein_coding-exon (YHL041W, exon 1 of 1)	155	YHL041W	YHL041W	YHL041W			YHL041W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_679	XVI	406120	406566	+	36	NA	promoter-TSS (YPL079W)	protein_coding-promoter-TSS (YPL079W)	155	YPL080C	YPL080C	YPL080C			YPL080C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_332	VIII	98378	98871	+	36	NA	promoter-TSS (YHL004W)	protein_coding-promoter-TSS (YHL004W)	171	YHL006C	YHL006C	YHL006C			SHU1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_58	II	697501	697960	+	36	NA	promoter-TSS (YBR238C)	protein_coding-promoter-TSS (YBR238C)	-428	YBR238C	YBR238C	YBR238C			YBR238C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_286	VII	555406	555702	+	36	NA	promoter-TSS (YGR033C)	protein_coding-promoter-TSS (YGR033C)	-258	YGR034W	YGR034W	YGR034W			RPL26B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_299	VII	733465	733732	+	36	NA	promoter-TSS (YGR121C)	protein_coding-promoter-TSS (YGR121C)	186	YGR121W-A	YGR121W-A	YGR121W-A			YGR121W-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_432	XI	518286	519236	+	36	NA	promoter-TSS (YKR040C)	protein_coding-promoter-TSS (YKR040C)	-195	YKR040C	YKR040C	YKR040C			YKR040C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_294	VII	661711	661983	+	36	NA	promoter-TSS (YGR090W)	protein_coding-promoter-TSS (YGR090W)	98	tT(UGU)G1	tT(UGU)G1	tT(UGU)G1			tT(UGU)G1			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_644	XV	836757	837355	+	36	NA	promoter-TSS (YOR273C)	protein_coding-promoter-TSS (YOR273C)	-618	YOR274W	YOR274W	YOR274W			MOD5			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_307	VII	809808	810046	+	36	NA	promoter-TSS (YGR161C)	protein_coding-promoter-TSS (YGR161C)	-300	YGR161W-C	YGR161W-C	YGR161W-C			YGR161W-C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_618	XV	424252	424567	+	36	NA	promoter-TSS (YOR049C)	protein_coding-promoter-TSS (YOR049C)	208	YOR050C	YOR050C	YOR050C			YOR050C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_475	XII	658049	658666	+	35	NA	promoter-TSS (YLR257W)	protein_coding-promoter-TSS (YLR257W)	-469	YLR257W	YLR257W	YLR257W			YLR257W			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_495	XII	931823	932584	+	35	NA	promoter-TSS (YLR406C)	protein_coding-promoter-TSS (YLR406C)	152	YLR406C-A	YLR406C-A	YLR406C-A			YLR406C-A			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_144	IV	1450918	1451129	+	35	NA	promoter-TSS (YDR500C)	protein_coding-promoter-TSS (YDR500C)	-170	YDR500C	YDR500C	YDR500C			RPL37B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_693	XVI	581989	582201	+	35	NA	promoter-TSS (YPR010C)	protein_coding-promoter-TSS (YPR010C)	33	tK(CUU)P	tK(CUU)P	tK(CUU)P			tK(CUU)P			tRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_245	VI	221565	221869	+	35	NA	promoter-TSS (RUF23)	ncRNA-promoter-TSS (RUF23)	3	RUF23	RUF23	RUF23			RUF23			ncRNA
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_172	IX	316321	316630	+	35	NA	promoter-TSS (YIL018W)	protein_coding-promoter-TSS (YIL018W)	-293	YIL018W	YIL018W	YIL018W			RPL2B			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_503	XIII	25948	26657	+	35	NA	promoter-TSS (YML121W)	protein_coding-promoter-TSS (YML121W)	116	YML122C	YML122C	YML122C			YML122C			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_223	V	461873	462459	+	35	NA	promoter-TSS (YER145C)	protein_coding-promoter-TSS (YER145C)	-419	YER146W	YER146W	YER146W			LSM5			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_673	XVI	227738	228064	+	35	NA	promoter-TSS (YPL170W)	protein_coding-promoter-TSS (YPL170W)	-413	YPL170W	YPL170W	YPL170W			DAP1			protein_coding
OSMOTIC_STRESS_T100_SE_REP2.mLb.clN_peak_651	XV	911887	912240	+	35	NA	promoter-TSS (YOR319W)	protein_coding-promoter-TSS (YOR319W)	373	YOR318C	YOR318C	YOR318C			YOR318C			protein_coding
